Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,,
B1,25/08/2001,Gent,Westerlo,4,1,H,2,0,H,,,,1.55,3.3,4.5,,,,1.57,3.75,4.5,1.55,3.7,4.5,,
B1,25/08/2001,Charleroi,St Truiden,0,3,A,0,1,A,,,,1.6,3.3,4,,,,1.73,3.4,4,1.65,3.5,4.1,,
B1,25/08/2001,Lierse,Antwerp,2,1,H,1,0,H,,,,1.55,3.3,4.5,,,,1.73,3.4,4,1.75,3.4,3.65,,
B1,25/08/2001,Lommel,Mouscron,3,2,H,2,1,H,,,,2.35,3,2.35,,,,2.4,3.25,2.5,2.25,3.3,2.55,,
B1,26/08/2001,Aalst,Lokeren,2,1,H,1,0,H,,,,2.35,3,2.35,,,,2.4,3.4,2.4,2.3,3.4,2.45,,
B1,26/08/2001,Club Brugge,Beveren,6,1,H,3,1,H,,,,1.15,5.5,11,,,,1.2,5.5,9,1.15,6,10,,
B1,26/08/2001,Germinal,Anderlecht,1,1,D,0,0,D,,,,3.4,3.2,1.75,,,,3.6,3.4,1.8,3.4,3.5,1.83,,
B1,26/08/2001,Genk,Louvieroise,5,1,H,2,0,H,,,,1.4,3.6,5.5,,,,1.44,3.75,6,,,,,
B1,26/08/2001,Standard,RWD Molenbeek,2,1,H,2,1,H,,,,1.3,4,7,,,,1.22,5.5,8,1.2,5.5,8,,
B1,07/09/2001,Mouscron,Charleroi,0,1,A,0,1,A,,,,1.55,3.3,4.5,1.91,3.4,3.25,1.91,3.4,3.25,1.85,3.4,3.25,,
B1,08/09/2001,Anderlecht,Genk,3,3,D,1,1,D,,,,1.25,4.3,8,1.3,4.5,7.5,1.3,4.5,7.5,1.3,4.25,7.5,,
B1,08/09/2001,Beveren,Aalst,0,4,A,0,1,A,,,,2.3,3,2.4,2.25,3.3,2.62,2.2,3.2,2.8,2.3,3.3,2.5,,
B1,08/09/2001,Louvieroise,Lierse,0,0,D,0,0,D,,,,2.9,3,2,2.5,3.3,2.38,2.5,3.25,2.38,,,,,
B1,08/09/2001,St Truiden,Standard,1,1,D,1,0,H,,,,3.1,3,1.9,2.62,3.3,2.25,2.88,3.1,2.2,2.65,3.35,2.15,,
B1,08/09/2001,Westerlo,Lommel,6,0,H,1,0,H,,,,1.65,3.2,3.9,1.91,3.4,3.25,1.8,3.25,3.75,1.95,3.4,3,,
B1,09/09/2001,Antwerp,Club Brugge,1,2,A,1,0,H,,,,4,3.3,1.6,3.8,3.5,1.73,3.75,3.6,1.73,4,3.5,1.65,,
B1,09/09/2001,Lokeren,Gent,0,1,A,0,0,D,,,,2.2,2.9,2.7,,,,2.2,3.25,2.75,2.4,3.3,2.4,,
B1,09/09/2001,RWD Molenbeek,Germinal,2,2,D,1,1,D,,,,2.35,3,2.35,2.5,3.4,2.3,2.5,3.25,2.38,2.6,3.35,2.2,,
B1,15/09/2001,Gent,Beveren,2,1,H,0,1,A,,,,1.25,4.3,8,1.29,4.5,8,1.33,4.33,7,1.3,4.2,7.5,,
B1,15/09/2001,Germinal,Genk,1,1,D,0,1,A,,,,1.9,3,3.1,1.91,3.25,3.4,1.83,3.4,3.5,1.95,3.5,2.95,,
B1,15/09/2001,Lierse,Anderlecht,2,0,H,0,0,D,,,,3.1,3,1.9,3.5,3.2,1.91,3.6,3.25,1.83,3.3,3.4,1.85,,
B1,15/09/2001,Lommel,Lokeren,3,4,A,1,2,A,,,,2.2,2.9,2.7,2.1,3.2,3,2.3,3.25,2.6,2.05,3.4,2.8,,
B1,15/09/2001,RWD Molenbeek,St Truiden,1,2,A,1,2,A,,,,2.1,3,2.8,2.4,3.1,2.6,2.3,3.25,2.6,2.3,3.4,2.45,,
B1,16/09/2001,Aalst,Antwerp,0,0,D,0,0,D,,,,1.75,3.2,3.4,1.73,3.4,4,1.83,3.4,3.5,1.75,3.6,3.45,,
B1,16/09/2001,Charleroi,Westerlo,4,2,H,3,0,H,,,,2,3,2.9,1.85,3.4,3.5,2,3.2,3.2,1.8,3.55,3.3,,
B1,16/09/2001,Club Brugge,Louvieroise,2,1,H,0,1,A,,,,1.15,5.5,11,1.14,6,12,1.18,5.5,10,,,,,
B1,16/09/2001,Standard,Mouscron,2,1,H,1,0,H,,,,1.35,3.8,6.2,1.4,3.75,7,1.44,3.75,6,1.4,4,5.75,,
B1,22/09/2001,Genk,Lierse,4,2,H,2,1,H,,,,2,2.9,3,1.75,3.4,3.8,,,,1.7,3.5,3.8,,
B1,22/09/2001,Louvieroise,Aalst,1,3,A,1,0,H,,,,2.35,3,2.35,2.8,3.2,2.2,,,,,,,,
B1,22/09/2001,Mouscron,RWD Molenbeek,4,1,H,1,0,H,,,,1.55,3.3,4.5,1.67,3.4,4.33,,,,1.55,3.6,4.6,,
B1,22/09/2001,St Truiden,Germinal,2,2,D,0,1,A,,,,2.2,2.9,2.7,2,3.3,3.1,,,,2.05,3.4,2.8,,
B1,23/09/2001,Antwerp,Gent,2,3,A,1,0,H,,,,2.8,3,2.1,2.8,3.2,2.2,,,,2.45,3.35,2.3,,
B1,23/09/2001,Beveren,Lommel,0,2,A,0,1,A,,,,2.4,2.9,2.4,2.2,3.2,2.8,,,,2.1,3.4,2.7,,
B1,29/09/2001,Gent,Louvieroise,2,1,H,2,1,H,,,,1.2,4.7,9,1.22,5,9,1.25,5,8,,,,,
B1,29/09/2001,Charleroi,Beveren,1,1,D,1,0,H,,,,1.4,3.6,5.5,1.44,3.6,6.5,1.44,3.75,6,1.4,4,5.75,,
B1,29/09/2001,Germinal,Lierse,2,0,H,0,0,D,,,,1.9,2.9,3.2,1.8,3.4,3.6,1.73,3.4,4,1.85,3.4,3.3,,
B1,29/09/2001,Lommel,Antwerp,2,2,D,2,1,H,,,,1.85,3,3.3,1.91,3.25,3.4,1.91,3.25,3.4,1.9,3.25,3.3,,
B1,29/09/2001,RWD Molenbeek,Westerlo,0,1,A,0,1,A,,,,2.35,3,2.35,2.4,3.4,2.4,2.4,3.4,2.4,2.4,3.3,2.4,,
B1,29/09/2001,St Truiden,Mouscron,1,2,A,0,0,D,,,,2,2.9,3,1.85,3.4,3.5,1.91,3.4,3.25,1.9,3.45,3.1,,
B1,30/09/2001,Aalst,Anderlecht,1,5,A,1,3,A,,,,3.2,3.1,1.85,2.88,3.3,2.1,3.2,3.5,1.91,3,3.45,1.95,,
B1,30/09/2001,Club Brugge,Genk,1,2,A,0,1,A,,,,1.3,4,7,1.44,3.6,6.5,1.36,4.33,6.5,1.4,3.9,6,,
B1,30/09/2001,Standard,Lokeren,0,2,A,0,1,A,,,,1.45,3.5,5,1.5,3.6,5.5,1.53,3.6,5,1.45,3.8,5.5,,
B1,09/10/2001,Louvieroise,Lommel,0,0,D,0,0,D,,,,2.2,3,2.6,2.5,3.25,2.4,2.4,3.4,2.4,,,,,
B1,10/10/2001,Anderlecht,Gent,2,0,H,0,0,D,,,,1.5,3.4,4.7,1.6,3.6,4.5,1.57,3.5,5,1.6,3.55,4.3,,
B1,10/10/2001,Antwerp,Charleroi,2,0,H,1,0,H,,,,2.2,3,2.6,2.2,3.4,2.625,2.25,3.4,2.6,2.25,3.35,2.55,,
B1,10/10/2001,Beveren,Standard,1,1,D,1,0,H,,,,3.3,3,1.85,3.25,3.4,1.909,3,3.4,2,3.15,3.4,1.9,,
B1,10/10/2001,Genk,Aalst,5,0,H,3,0,H,,,,1.7,3.1,3.8,1.8,3.4,3.6,1.73,3.4,4,1.6,3.6,4.25,,
B1,10/10/2001,Lierse,Club Brugge,0,2,A,0,2,A,,,,3.3,3,1.85,3.3,3.1,2,3.25,3.4,1.91,3.15,3.4,1.9,,
B1,10/10/2001,Lokeren,RWD Molenbeek,4,0,H,2,0,H,,,,1.4,3.6,5.5,1.533,3.6,5,1.53,3.6,5,1.45,3.8,5.4,,
B1,10/10/2001,Mouscron,Germinal,3,1,H,1,1,D,,,,2,2.9,3,2,3.3,3.1,2.1,3.25,2.9,1.95,3.4,3,,
B1,10/10/2001,Westerlo,St Truiden,0,0,D,0,0,D,,,,1.7,3.1,3.8,1.909,3.25,3.4,1.91,3.4,3.25,1.85,3.45,3.25,,
B1,13/10/2001,Gent,Genk,0,0,D,0,0,D,,,,1.7,3.1,3.8,1.8,3.25,3.8,1.8,3.25,3.75,1.9,3.35,3.2,,
B1,13/10/2001,Charleroi,Louvieroise,2,1,H,1,0,H,,,,1.5,3.4,4.7,1.444,3.5,7,1.44,3.75,6,,,,,
B1,13/10/2001,Lommel,Anderlecht,2,2,D,1,1,D,,,,3.9,3.2,1.65,3.8,3.4,1.75,4.33,3.4,1.67,3.85,3.45,1.7,,
B1,13/10/2001,RWD Molenbeek,Beveren,3,0,H,2,0,H,,,,1.9,3,3.1,2.1,3.3,2.875,2.1,3.4,2.8,2.1,3.35,2.75,,
B1,13/10/2001,Mouscron,Westerlo,1,2,A,1,1,D,,,,1.8,3,3.5,1.833,3.2,3.75,1.73,3.4,4,1.7,3.55,3.75,,
B1,13/10/2001,St Truiden,Lokeren,1,0,H,1,0,H,,,,2.35,3,2.35,2,3.3,3.1,2.1,3.4,2.8,2.05,3.4,2.8,,
B1,13/10/2001,Standard,Antwerp,4,2,H,2,1,H,,,,1.4,3.6,5.5,1.4,3.75,7,1.4,4,6.5,1.45,3.75,5.5,,
B1,14/10/2001,Aalst,Lierse,0,2,A,0,0,D,,,,2,2.9,3,1.85,3.4,3.4,1.91,3.4,3.25,1.95,3.45,3,,
B1,14/10/2001,Germinal,Club Brugge,1,2,A,0,1,A,,,,3.1,3,1.9,3.1,3.2,2.05,3.25,3.4,1.91,3.15,3.4,1.9,,
B1,20/10/2001,Anderlecht,Charleroi,2,1,H,1,0,H,1.32,4.25,7.5,1.25,4.3,8,1.333,4.2,7.5,,,,1.3,4.3,7.3,,
B1,20/10/2001,Antwerp,RWD Molenbeek,1,2,A,0,1,A,1.7,3.4,4.2,1.6,3.3,4,1.667,3.5,4.2,,,,1.65,3.55,4,,
B1,20/10/2001,Genk,Lommel,4,2,H,2,1,H,1.45,3.7,6,1.45,3.5,5,1.444,3.75,6,,,,1.4,3.75,6.5,,
B1,20/10/2001,Lokeren,Mouscron,2,1,H,1,0,H,2,3.2,3.3,2,3,2.9,2,3.2,3.2,,,,1.85,3.4,3.3,,
B1,21/10/2001,Beveren,St Truiden,3,2,H,0,0,D,2.5,3.15,2.45,2.35,3,2.35,2.5,3.2,2.4,,,,2.4,3.3,2.4,,
B1,21/10/2001,Club Brugge,Aalst,3,0,H,2,0,H,1.15,4.65,9,1.25,4.3,8,1.364,3.75,8,,,,1.25,4.6,8.5,,
B1,21/10/2001,Louvieroise,Standard,3,1,H,1,1,D,3.58,3.3,1.85,3.6,3.2,1.7,3.5,3.3,1.85,,,,,,,,
