Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,,
B1,13/01/2002,Standard,Charleroi,6,0,H,2,0,H,1.36,4,7.2,1.25,4.5,9,1.36,4,7,1.3,4.33,8,1.3,4.5,7,,
B1,19/01/2002,Gent,Mouscron,1,1,D,0,1,A,1.5,3.65,5.7,1.5,3.7,5,1.57,3.5,5,1.53,3.6,5,1.5,3.7,5,,
B1,19/01/2002,Anderlecht,Louvieroise,5,2,H,2,1,H,1.2,5.35,10.3,1.2,4.7,9,1.2,5.2,10,1.17,6,10,,,,,
B1,19/01/2002,Charleroi,RWD Molenbeek,3,1,H,1,1,D,1.85,3.3,3.7,1.85,3,3.3,1.83,3.3,3.6,1.8,3.4,3.6,1.7,3.4,3.9,,
B1,19/01/2002,Genk,Antwerp,2,1,H,2,1,H,1.33,4.3,7.6,1.35,3.8,6.2,1.3,4.33,8,1.29,4.5,8,1.35,4,6.8,,
B1,19/01/2002,Lommel,St Truiden,0,1,A,0,1,A,2.05,3.2,3.2,2,3,2.9,1.85,3.3,3.5,1.91,3.25,3.4,2,3.35,2.95,,
B1,20/01/2002,Aalst,Westerlo,0,1,A,0,1,A,2.5,3.25,2.45,2.35,3,2.35,2.4,3.25,2.5,2.38,3.25,2.5,2.3,3.3,2.5,,
B1,20/01/2002,Club Brugge,Lokeren,2,4,A,2,2,D,1.35,4.3,7,1.25,4.3,8,1.3,4.33,8,1.4,4,6.5,1.35,4.3,6,,
B1,20/01/2002,Lierse,Beveren,3,3,D,3,2,H,1.5,3.7,5.6,1.45,3.5,5,1.44,3.6,6.5,1.53,3.6,5,1.55,3.7,4.5,,
B1,25/01/2002,Anderlecht,Germinal,1,0,H,0,0,D,1.37,4,7,1.35,4,7,1.4,3.75,7,1.364,4,7,1.4,3.75,6.5,,
B1,26/01/2002,Antwerp,Lierse,1,4,A,1,0,H,1.9,3.3,3.5,1.85,3,3.3,1.833,3.4,3.5,1.833,3.4,3.5,1.85,3.35,3.35,,
B1,26/01/2002,Beveren,Club Brugge,0,4,A,0,0,D,5.75,3.85,1.45,6.2,3.8,1.35,6,3.75,1.444,7,3.75,1.4,5.7,3.7,1.45,,
B1,26/01/2002,Louvieroise,Genk,0,0,D,0,0,D,4,3.4,1.73,3.3,3,1.85,3.5,3.4,1.833,,,,,,,,
B1,26/01/2002,Lokeren,Aalst,1,0,H,0,0,D,1.27,4.6,8,1.25,4.3,8,1.364,3.8,7.5,1.364,4.333,6.5,1.35,4,6.8,,
B1,26/01/2002,St Truiden,Charleroi,2,1,H,0,0,D,1.85,3.3,3.6,1.7,3.1,3.8,1.85,3.4,3.5,,,,1.85,3.35,3.35,,
B1,26/01/2002,Westerlo,Gent,3,1,H,2,1,H,3.05,3.25,2.05,2.9,3,2,2.7,3.25,2.25,3.25,3.4,1.909,3,3.3,2,,
B1,27/01/2002,RWD Molenbeek,Standard,2,1,H,0,1,A,4.25,3.5,1.68,4.7,3.4,1.5,4,3.3,1.75,,,,3.9,3.45,1.7,,
B1,27/01/2002,Mouscron,Lommel,1,0,H,0,0,D,1.5,3.8,5,1.6,3.3,4,1.5,3.6,5.5,1.5,3.6,5.5,1.5,3.8,4.8,,
B1,02/02/2002,Gent,Lokeren,1,1,D,0,0,D,1.92,3.35,3.28,1.9,3.1,3.5,2,3.25,3.1,1.909,3.4,3.25,2.05,3.25,2.9,,
B1,02/02/2002,Charleroi,Mouscron,0,2,A,0,1,A,2.25,3.3,2.65,2.3,2.9,2.5,2.3,3.25,2.625,2.25,3.3,2.625,2.25,3.25,2.6,,
B1,02/02/2002,Germinal,RWD Molenbeek,2,2,D,0,0,D,1.6,3.5,4.7,1.5,3.5,4.5,1.571,3.5,5,1.615,3.5,4.5,1.6,3.5,4.4,,
B1,02/02/2002,Lommel,Westerlo,3,0,H,2,0,H,2.2,3.35,2.7,2.2,3,2.6,2.2,3.3,2.7,2.2,3.3,2.7,2.2,3.3,2.65,,
B1,02/02/2002,Standard,St Truiden,1,3,A,1,2,A,1.35,4.15,7,1.35,4,7,1.333,4.333,7,1.3,4.333,8,1.3,4.3,7.5,,
B1,03/02/2002,Aalst,Beveren,0,1,A,0,0,D,1.88,3.35,3.42,1.8,3,3.5,1.9,3.4,3.3,1.909,3.5,3.2,1.9,3.5,3.1,,
B1,03/02/2002,Club Brugge,Antwerp,4,1,H,3,0,H,1.22,5.2,9,1.2,4.7,9,1.222,5,9,1.2,5.5,9,1.2,5.2,9,,
B1,03/02/2002,Lierse,Louvieroise,0,1,A,0,0,D,1.68,3.35,4.35,1.65,3.2,3.9,1.7,3.4,4.2,1.667,3.4,4.333,,,,,
B1,09/02/2002,Anderlecht,Lierse,7,1,H,2,0,H,1.25,4.7,9,1.2,4.7,9,1.3,4.333,8,1.25,5,8,1.25,4.75,8,,
B1,09/02/2002,Antwerp,Aalst,2,0,H,0,0,D,1.65,3.45,4.4,1.6,3.3,4,1.7,3.3,4.2,1.667,3.4,4.333,1.65,3.4,4.25,,
B1,09/02/2002,Beveren,Gent,2,2,D,0,0,D,4.2,3.35,1.7,4,3.3,1.6,4.2,3.5,1.667,4.333,3.4,1.667,3.7,3.4,1.75,,
B1,09/02/2002,Genk,Germinal,4,4,D,3,2,H,1.45,3.75,5.95,1.55,3.5,4.8,1.5,3.6,5.5,1.444,3.75,6,1.5,3.6,5.25,,
B1,09/02/2002,Louvieroise,Club Brugge,1,2,A,0,1,A,5.1,3.55,1.55,5.4,3.8,1.45,5,3.5,1.571,4.5,3.5,1.615,,,,,
B1,09/02/2002,Lokeren,Lommel,1,0,H,0,0,D,1.45,3.7,6.1,1.4,3.6,5.5,1.5,3.6,5.5,1.4,4,6.5,1.4,3.9,6,,
B1,10/02/2002,Mouscron,Standard,2,0,H,1,0,H,2.35,3.25,2.55,2.3,3.1,2.6,2.5,3.25,2.4,2.5,3.2,2.4,2.3,3.3,2.5,,
B1,10/02/2002,St Truiden,RWD Molenbeek,1,2,A,0,1,A,1.65,3.4,4.5,1.6,3.3,4,1.7,3.3,4.2,1.615,3.5,4.5,1.65,3.45,4.1,,
B1,10/02/2002,Westerlo,Charleroi,3,3,D,1,1,D,1.82,3.3,3.7,1.75,3.1,3.6,1.833,3.2,3.75,1.833,3.4,3.5,1.75,3.4,3.7,,
B1,16/02/2002,Charleroi,Lokeren,1,0,H,0,0,D,2.72,3.2,2.25,2.7,2.9,2.2,2.7,3.25,2.25,,,,2.7,3.3,2.15,,
B1,16/02/2002,Germinal,St Truiden,1,0,H,1,0,H,1.7,3.5,4,1.75,3.1,3.6,1.833,3.3,3.6,,,,1.8,3.4,3.5,,
B1,16/02/2002,Lierse,Genk,1,2,A,1,1,D,3.85,3.3,1.8,3.4,3.2,1.85,3.5,3.4,1.833,,,,3.7,3.4,1.75,,
B1,16/02/2002,Lommel,Beveren,3,1,H,2,0,H,1.6,3.6,4.5,1.55,3.3,4.5,1.667,3.4,4.333,,,,1.65,3.5,4.1,,
B1,16/02/2002,RWD Molenbeek,Mouscron,1,1,D,1,0,H,2.55,3.2,2.4,2.3,3.1,2.3,2.5,3.25,2.4,,,,2.35,3.2,2.5,,
B1,17/02/2002,Gent,Antwerp,3,3,D,2,0,H,1.4,4,6.4,1.35,3.8,6.2,1.444,3.6,6.5,,,,1.45,3.6,5.8,,
B1,17/02/2002,Aalst,Louvieroise,0,0,D,0,0,D,2.5,3.2,2.4,2.3,3.1,2.3,2.3,3.2,2.625,,,,,,,,
B1,17/02/2002,Club Brugge,Anderlecht,1,0,H,0,0,D,2.12,3.1,3.05,2.1,3,3.1,2.1,3.2,3,,,,2.1,3.2,3,,
B1,17/02/2002,Standard,Westerlo,2,2,D,0,1,A,1.45,3.75,6,1.45,3.5,5,1.5,3.6,5.5,,,,1.4,3.9,6,,
B1,22/02/2002,Louvieroise,Gent,3,1,H,2,1,H,3,3.3,2.06,3.5,3.1,1.9,3.2,3.2,2,3,3.4,2,,,,,
B1,23/02/2002,Anderlecht,Aalst,3,1,H,1,1,D,1.1,7.15,13.5,1.1,7,14,1.143,5.5,15,1.1,6.5,15,1.1,6.2,15,,
B1,23/02/2002,Antwerp,Lommel,3,3,D,2,0,H,1.92,3.3,3.35,2,2.9,3,2.1,3.2,3,2,3.4,3,2,3.4,2.9,,
B1,23/02/2002,Beveren,Charleroi,1,1,D,0,0,D,2.6,3.2,2.35,2.3,3.1,2.3,2.6,3.25,2.3,2.6,3.4,2.25,2.55,3.3,2.25,,
B1,23/02/2002,Lierse,Germinal,1,1,D,1,1,D,2.4,3.2,2.55,2.35,3,2.35,2.3,3.25,2.6,2.5,3.25,2.375,2.4,3.3,2.4,,
B1,23/02/2002,Lokeren,Standard,1,1,D,0,1,A,2.15,3.3,2.82,2.2,3.1,2.8,2.2,3.25,2.75,2.2,3.25,2.75,2.2,3.25,2.75,,
B1,23/02/2002,Mouscron,St Truiden,3,0,H,3,0,H,1.66,3.45,4.35,1.7,3.1,3.8,1.667,3.4,4.333,1.615,3.5,4.5,1.6,3.45,4.5,,
B1,24/02/2002,Genk,Club Brugge,3,2,H,2,2,D,2.45,3.25,2.45,2.3,3.1,2.6,2.5,3.1,2.5,2.4,3.2,2.5,2.4,3.25,2.5,,
B1,24/02/2002,Westerlo,RWD Molenbeek,4,0,H,0,0,D,1.95,3.25,3.3,1.85,3,3.3,1.85,3.3,3.5,1.833,3.4,3.5,1.85,3.35,3.35,,
B1,02/03/2002,Charleroi,Antwerp,5,0,H,2,0,H,1.73,3.35,4.1,1.9,3,3.2,1.727,3.4,4,1.727,3.4,4,1.7,3.35,4,,
B1,02/03/2002,Germinal,Mouscron,2,2,D,0,0,D,2,3.25,3.15,2.1,3,2.8,2.1,3.2,3,2.2,3.25,2.75,2.2,3.25,2.65,,
B1,02/03/2002,Lommel,Louvieroise,3,0,H,2,0,H,1.75,3.35,4,1.75,3.1,3.6,1.8,3.3,3.75,1.8,3.25,3.75,,,,,
B1,02/03/2002,RWD Molenbeek,Lokeren,1,0,H,0,0,D,2.7,3.2,2.27,2.7,3.1,2.1,2.7,3.25,2.25,2.7,3.25,2.25,2.55,3.25,2.3,,
B1,02/03/2002,St Truiden,Westerlo,2,0,H,2,0,H,2.05,3.2,3.1,2.1,3,2.8,2.1,3.2,3,2,3.4,3,2.05,3.3,2.9,,
B1,02/03/2002,Standard,Beveren,4,1,H,2,1,H,1.22,4.85,10,1.2,4.7,9,1.286,4.333,8.5,1.25,5,8,1.25,5,7.5,,
B1,03/03/2002,Gent,Anderlecht,2,2,D,0,1,A,2.85,3.2,2.16,3.2,3.1,2,2.7,3.1,2.3,2.7,3.1,2.3,2.75,3.1,2.3,,
B1,03/03/2002,Aalst,Genk,0,0,D,0,0,D,5.75,3.65,1.47,6,4,1.35,5,3.5,1.571,5.5,3.6,1.5,5.25,3.6,1.5,,
B1,03/03/2002,Club Brugge,Lierse,3,1,H,1,0,H,1.2,5.25,10,1.2,5,10,1.222,5,9,1.2,5,11,1.15,6,10,,
B1,08/03/2002,Genk,Gent,2,1,H,0,1,A,1.6,3.5,4.7,1.7,3.2,4.2,1.7,3.4,4.2,1.615,3.5,4.5,1.65,3.5,4.1,,
B1,08/03/2002,Louvieroise,Charleroi,2,1,H,1,1,D,2.15,3.2,2.9,2.1,3,3.1,2.2,3.25,2.75,2.3,3.2,2.625,,,,,
B1,09/03/2002,Anderlecht,Lommel,2,0,H,1,0,H,1.25,4.85,8.75,1.25,4.5,9,1.25,4.6,9,1.25,4.5,10,1.2,5,10,,
B1,09/03/2002,Beveren,RWD Molenbeek,1,3,A,0,2,A,2.6,3.1,2.4,2.6,3.1,2.2,2.5,3.25,2.375,2.5,3.25,2.375,2.5,3.25,2.35,,
B1,09/03/2002,Lierse,Aalst,3,1,H,0,0,D,1.6,3.5,4.7,1.55,3.4,4.6,1.7,3.4,4.2,1.615,3.5,4.5,1.7,3.4,4,,
B1,09/03/2002,Lokeren,St Truiden,0,1,A,0,0,D,1.62,3.4,4.75,1.6,3.3,4.4,1.667,3.4,4.333,1.667,3.4,4.333,1.65,3.5,4.1,,
B1,09/03/2002,Westerlo,Mouscron,0,2,A,0,0,D,2.45,3.1,2.55,2.3,3.1,2.5,2.4,3.25,2.5,2.375,3.25,2.5,2.35,3.4,2.4,,
B1,10/03/2002,Antwerp,Standard,0,0,D,0,0,D,2.9,3.1,2.2,3,3.1,2.1,2.75,3.25,2.2,2.8,3.2,2.2,2.6,3.2,2.3,,
B1,10/03/2002,Club Brugge,Germinal,3,2,H,1,0,H,1.33,4.25,7.5,1.3,4.3,8,1.333,4.2,7.5,1.3,4.333,8,1.35,3.8,7.5,,
B1,13/03/2002,Genk,Anderlecht,1,1,D,1,1,D,2.3,3.3,2.6,2.3,3.1,2.6,2.375,3.2,2.6,2.25,3.2,2.7,2.2,3.2,2.7,,
B1,16/03/2002,Gent,Lierse,2,3,A,1,0,H,1.45,3.75,6,1.4,3.8,5.5,1.5,3.4,6,1.4,4,6.5,1.5,3.6,5.2,,
B1,16/03/2002,Charleroi,Anderlecht,1,1,D,0,0,D,4,3.3,1.75,4,3.3,1.7,3.5,3.4,1.833,3.6,3.4,1.8,3.65,3.25,1.8,,
B1,16/03/2002,Germinal,Westerlo,1,1,D,0,1,A,1.67,3.35,4.4,1.65,3.3,4,1.727,3.4,4,1.727,3.4,4,1.7,3.3,4.1,,
B1,16/03/2002,Lommel,Genk,1,5,A,0,1,A,3.65,3.25,1.85,3.8,3.3,1.75,3.4,3.25,1.909,3.4,3.25,1.909,3.45,3.25,1.85,,
B1,16/03/2002,Mouscron,Lokeren,4,0,H,1,0,H,1.67,3.4,4.2,1.75,3.3,3.8,1.8,3.25,3.75,1.667,3.4,4.333,1.65,3.4,4.2,,
B1,16/03/2002,Standard,Louvieroise,1,2,A,0,1,A,1.3,4.5,7.8,1.35,4,7,1.364,3.8,7.5,1.3,4.333,8,,,,,
B1,17/03/2002,Aalst,Club Brugge,1,1,D,1,0,H,6.65,4.2,1.35,7,4,1.35,7,3.75,1.4,7,4,1.364,6.5,3.75,1.4,,
B1,17/03/2002,RWD Molenbeek,Antwerp,2,0,H,1,0,H,1.72,3.35,4.15,1.8,3.2,3.6,1.8,3.3,3.75,1.667,3.4,4.333,1.7,3.3,4.1,,
B1,17/03/2002,St Truiden,Beveren,4,2,H,1,1,D,1.38,4,6.5,1.35,4,6.5,1.4,3.8,6.5,1.4,3.75,7,1.35,4,6.8,,
B1,22/03/2002,Anderlecht,Standard,0,0,D,0,0,D,1.53,3.5,5.4,1.45,3.8,5.4,1.55,3.4,5.25,1.533,3.4,5.5,1.57,3.3,5.5,,
B1,23/03/2002,Antwerp,St Truiden,4,1,H,0,0,D,2.4,3.1,2.6,2,3,3,2.4,3.2,2.5,2.5,3.2,2.4,2.45,3.2,2.4,,
B1,23/03/2002,Beveren,Mouscron,0,1,A,0,0,D,5.4,3.4,1.55,4.2,3.5,1.6,4.75,3.4,1.6,4.5,3.5,1.615,4.1,3.5,1.65,,
B1,23/03/2002,Genk,Charleroi,3,2,H,3,0,H,1.28,4.25,9.3,1.3,4.5,7,1.364,4.333,6,1.364,4,7,1.35,4,7,,
B1,23/03/2002,Lierse,Lommel,6,3,H,1,1,D,1.92,3.2,3.45,1.75,3.2,3.8,2,3.25,3.1,1.909,3.2,3.5,1.9,3.3,3.25,,
B1,23/03/2002,Lokeren,Westerlo,2,0,H,0,0,D,1.67,3.4,4.35,1.6,3.5,4.2,1.65,3.4,4.333,1.615,3.5,4.5,1.65,3.5,4.1,,
B1,24/03/2002,Aalst,Germinal,3,3,D,3,0,H,2.85,3.1,2.2,,,,,,,,,,,,,,
B1,24/03/2002,Club Brugge,Gent,0,1,A,0,0,D,1.38,3.8,7.3,1.35,4,7,1.4,3.8,6.5,1.4,3.75,7,1.4,3.75,7,,
B1,24/03/2002,Louvieroise,RWD Molenbeek,1,0,H,0,0,D,2,3.1,3.35,2,3,3,2.2,3.2,2.75,1.909,3.4,3.25,2.1,3.3,2.8,,
B1,30/03/2002,Gent,Aalst,2,2,D,1,1,D,1.22,5,9.7,1.2,5,10,,,,1.3,4.333,8,1.35,4,7,,
B1,30/03/2002,Charleroi,Lierse,3,1,H,1,0,H,1.98,3.2,3.25,2,3,3,2,3.2,3.2,1.909,3.25,3.4,1.95,3.2,3.25,,
B1,30/03/2002,Germinal,Lokeren,0,0,D,0,0,D,2,3.2,3.22,2.2,3,2.9,2,3.2,3.2,2,3.3,3.1,2,3.3,3,,
B1,30/03/2002,Lommel,Club Brugge,0,2,A,0,0,D,4.2,3.5,1.65,4.4,3.3,1.65,4.333,3.4,1.667,4,3.4,1.727,4.2,3.4,1.65,,
B1,30/03/2002,Mouscron,Antwerp,5,1,H,2,1,H,1.35,4.25,6.75,1.35,4,6.5,1.333,4.333,7,1.3,4.333,8,1.35,4,7,,
B1,30/03/2002,St Truiden,Louvieroise,1,0,H,0,0,D,1.68,3.35,4.35,1.75,3.2,3.8,1.7,3.25,4.333,1.667,3.4,4.333,1.7,3.35,4,,
B1,30/03/2002,Standard,Genk,2,0,H,1,0,H,2.42,3.2,2.52,2.4,3,2.6,2.5,3.25,2.375,2.5,3.1,2.5,2.5,3.1,2.4,,
B1,30/03/2002,Westerlo,Beveren,1,0,H,0,0,D,1.35,4.45,6.35,1.25,4.5,8,1.364,3.75,8,1.444,3.75,6,1.45,3.6,6,,
B1,01/04/2002,RWD Molenbeek,Anderlecht,2,3,A,1,1,D,4.4,3.5,1.62,4,3.2,1.75,4,3.4,1.727,3.6,3.4,1.8,3.8,3.3,1.75,,
B1,05/04/2002,Club Brugge,Charleroi,1,0,H,1,0,H,1.2,4.95,10.6,1.25,4.5,9,1.222,5,9,,,,1.2,5.5,8,,
B1,06/04/2002,Gent,Germinal,1,1,D,0,0,D,1.7,3.3,4.2,1.8,3.1,3.8,1.7,3.4,4.2,,,,1.75,3,4.3,,
B1,06/04/2002,Anderlecht,St Truiden,0,2,A,0,0,D,1.25,4.9,8,1.25,4.5,9,1.25,4.8,8.5,,,,1.25,4.8,7.5,,
B1,06/04/2002,Antwerp,Westerlo,1,1,D,1,0,H,1.96,3.2,3.25,1.9,3.1,3.5,2,3.2,3.2,,,,2.1,3.25,2.85,,
B1,06/04/2002,Beveren,Lokeren,0,2,A,0,1,A,3.62,3.35,1.8,3.8,3.2,1.75,3.4,3.4,1.85,,,,3.5,3.2,1.85,,
B1,06/04/2002,Genk,RWD Molenbeek,2,0,H,2,0,H,1.25,4.65,8.7,1.25,4.5,9,,,,,,,1.3,4.4,7.2,,
B1,06/04/2002,Louvieroise,Mouscron,1,0,H,0,0,D,3,3.2,2.08,3.5,3.1,1.9,3,3.4,2,,,,2.7,3.2,2.2,,
B1,06/04/2002,Lierse,Standard,1,1,D,0,0,D,2.8,3.2,2.18,2.7,3.1,2.2,3,3,2.2,,,,2.75,3.15,2.2,,
B1,07/04/2002,Aalst,Lommel,0,1,A,0,0,D,2.25,3.15,2.75,,,,,,,,,,2.2,3.25,2.65,,
B1,12/04/2002,Standard,Club Brugge,1,1,D,0,1,A,2.85,3.3,2.1,2.4,3.1,2.4,2.7,3.2,2.25,2.6,3.1,2.375,,,,,
B1,13/04/2002,Charleroi,Aalst,2,1,H,1,0,H,1.35,4.35,6.25,1.35,4,6.2,,,,,,,,,,,
B1,13/04/2002,Germinal,Beveren,4,1,H,3,0,H,1.25,4.8,7.85,1.25,4.5,8,,,,1.4,4,6.5,1.35,3.6,8.5,,
B1,13/04/2002,Lommel,Gent,2,4,A,1,1,D,2.55,3.3,2.3,2.4,3.1,2.4,2.5,3.25,2.375,2.625,3.2,2.3,2.55,3.25,2.3,,
B1,13/04/2002,RWD Molenbeek,Lierse,1,0,H,0,0,D,2,3.2,3.2,1.9,3.1,3.4,,,,,,,2.25,3.4,2.5,,
B1,13/04/2002,St Truiden,Genk,0,1,A,0,1,A,3.5,3.4,1.82,3.5,3.1,1.9,3.3,3.3,1.909,3.1,3.3,2,2.85,3.35,2.05,,
B1,13/04/2002,Westerlo,Louvieroise,0,1,A,0,0,D,1.85,3.35,3.45,1.9,3,3.5,1.909,3.25,3.4,2,3.3,3.1,1.9,3.3,3.25,,
B1,14/04/2002,Lokeren,Antwerp,0,0,D,0,0,D,1.35,4.5,5.95,1.4,3.9,6,1.4,3.75,7,1.4,4,6.5,1.45,3.75,5.5,,
B1,14/04/2002,Mouscron,Anderlecht,1,1,D,1,1,D,2.3,3.3,2.55,2.3,3.1,2.6,2.4,3.25,2.5,2.4,3.2,2.5,2.35,3.2,2.5,,
B1,16/04/2002,Germinal,Standard,2,2,D,1,2,A,2.4,3.2,2.5,2.3,3.1,2.6,2.5,3.25,2.4,,,,2.55,3.2,2.3,,
B1,20/04/2002,Gent,Charleroi,3,0,H,2,0,H,1.42,4,6,1.45,3.7,5,1.5,3.4,6,1.571,3.5,5,1.6,3.4,4.6,,
B1,20/04/2002,Anderlecht,Westerlo,3,3,D,2,2,D,1.27,4.8,8,1.25,4.5,9,1.286,4.5,8,1.286,4.5,8,1.3,4.5,6.8,,
B1,20/04/2002,Antwerp,Beveren,4,0,H,1,0,H,1.45,3.85,5.85,1.4,3.9,6,,,,1.5,3.4,6,1.45,3.5,6,,
B1,20/04/2002,Louvieroise,Lokeren,0,1,A,0,0,D,2.35,3.15,2.65,2.4,3.1,2.4,2.25,3.25,2.625,2.25,3.3,2.625,2.15,3.25,2.75,,
B1,20/04/2002,Lierse,St Truiden,0,2,A,0,1,A,2.25,3.15,2.75,2.2,3,2.7,2.375,3.25,2.5,2.375,3.1,2.6,2.4,3.1,2.5,,
B1,20/04/2002,Lommel,Germinal,2,2,D,1,1,D,2.35,3.05,2.7,2.4,3.1,2.4,2.3,3,2.75,2.25,3.1,2.8,2.2,3.15,2.75,,
B1,21/04/2002,Aalst,Standard,1,2,A,0,0,D,,,,6,3.9,1.4,,,,,,,4.8,3.8,1.5,,
B1,21/04/2002,Club Brugge,RWD Molenbeek,1,1,D,0,1,A,1.15,6,11,1.2,5,10,,,,,,,1.2,5.4,8.5,,
B1,21/04/2002,Genk,Mouscron,3,1,H,0,1,A,1.47,3.8,5.5,1.5,3.4,4.7,1.5,3.5,5.5,1.444,3.75,6,1.5,3.7,5,,
B1,27/04/2002,Charleroi,Lommel,1,3,A,0,1,A,1.7,3.35,4.1,1.8,3.1,3.8,,,,1.8,3.4,3.6,,,,,
B1,28/04/2002,Antwerp,Germinal,2,3,A,2,1,H,2.35,3.2,2.55,2.4,3.1,2.4,,,,2.375,3,2.7,,,,,
B1,28/04/2002,Beveren,Louvieroise,0,3,A,0,0,D,3.1,3.25,2,,,,,,,3.1,3.3,2,,,,,
B1,28/04/2002,Lokeren,Anderlecht,0,1,A,0,0,D,2.5,3.25,2.35,2.4,3.1,2.4,,,,2.4,3.2,2.5,,,,,
B1,28/04/2002,RWD Molenbeek,Aalst,4,3,H,1,1,D,1.4,4,5.95,1.35,4,7,,,,,,,,,,,
B1,28/04/2002,Mouscron,Lierse,2,0,H,1,0,H,1.4,3.8,6.5,1.55,3.5,4.5,,,,1.364,4,7,,,,,
B1,28/04/2002,St Truiden,Club Brugge,5,3,H,1,1,D,4.55,3.5,1.6,4,3.3,1.7,,,,4.333,3.4,1.667,,,,,
B1,28/04/2002,Standard,Gent,0,1,A,0,1,A,1.9,3.2,3.4,1.8,3.1,3.8,,,,1.909,3.25,3.4,,,,,
B1,28/04/2002,Westerlo,Genk,0,0,D,0,0,D,4.85,3.6,1.55,4.4,3.5,1.6,,,,6,3.75,1.444,,,,,
B1,04/05/2002,Germinal,Charleroi,4,1,H,2,0,H,1.6,3.6,4.4,1.6,3.4,4.6,,,,,,,1.5,3.6,5.2,,
B1,04/05/2002,Louvieroise,Antwerp,3,0,H,2,0,H,1.65,3.5,4.25,1.6,3.4,4.6,,,,1.667,3.4,4.333,1.65,3.4,4.2,,
B1,05/05/2002,Gent,RWD Molenbeek,3,5,A,1,2,A,1.4,4,6.1,1.4,3.9,6,,,,,,,1.45,3.3,7,,
B1,05/05/2002,Aalst,St Truiden,1,1,D,1,0,H,3.55,3.6,1.75,,,,,,,,,,,,,,
B1,05/05/2002,Anderlecht,Beveren,3,0,H,3,0,H,1.15,6,11,1.15,6,12,,,,1.143,6,12,1.12,6.1,12,,
B1,05/05/2002,Club Brugge,Mouscron,2,0,H,1,0,H,1.5,3.75,5.2,1.5,3.7,5,1.571,3.3,5,1.533,3.6,5,1.55,3.55,4.75,,
B1,05/05/2002,Genk,Lokeren,3,3,D,1,2,A,1.48,3.65,5.6,1.4,3.9,6,1.533,3.6,4.75,1.615,3.6,5,1.55,3.6,4.7
B1,05/05/2002,Lierse,Westerlo,4,1,H,2,0,H,1.95,3.25,3.25,1.85,3.2,3.4,,,,2.1,3.2,3,2,3.3,3
B1,05/05/2002,Lommel,Standard,1,1,D,1,1,D,2.6,3.2,2.33,2.35,3.1,2.35,2.7,3.2,2.2,,,,2.5,3.2,2.35
