Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D1,16/08/1996,Bor. Mönchengladbach,Arminia Bielefeld,0,0,D,0,0,D,,,,,,,,,,,
D1,16/08/1996,FC St. Pauli,Bayern München,1,2,A,1,2,A,,,,,,,,,,,
D1,17/08/1996,VFL Bochum,MSV Duisburg,1,0,H,1,0,H,,,,,,,,,,,
D1,17/08/1996,SC Freiburg,Werder Bremen,3,2,H,2,0,H,,,,,,,,,,,
D1,17/08/1996,FC Hansa Rostock,Karlsruher SC,2,2,D,0,1,A,,,,,,,,,,,
D1,17/08/1996,Bayer Leverkusen,Borussia Dortmund,4,2,H,2,2,D,,,,,,,,,,,
D1,17/08/1996,1860 München,Hamburger SV,2,1,H,0,0,D,,,,,,,,,,,
D1,17/08/1996,VfB Stuttgart,FC Schalke 04,4,0,H,2,0,H,,,,,,,,,,,
D1,18/08/1996,Fortuna Düsseldorf,FC Köln,0,3,A,0,1,A,,,,,,,,,,,
D1,20/08/1996,Arminia Bielefeld,FC St. Pauli,1,2,A,0,1,A,,,,,,,,,,,
D1,20/08/1996,Hamburger SV,SC Freiburg,5,1,H,4,0,H,,,,,,,,,,,
D1,20/08/1996,FC Schalke 04,Bor. Mönchengladbach,0,0,D,0,0,D,,,,,,,,,,,
D1,20/08/1996,Werder Bremen,FC Hansa Rostock,1,1,D,0,1,A,,,,,,,,,,,
D1,21/08/1996,Bayern München,VFL Bochum,1,1,D,0,0,D,,,,,,,,,,,
D1,21/08/1996,Borussia Dortmund,Fortuna Düsseldorf,4,0,H,2,0,H,,,,,,,,,,,
D1,21/08/1996,MSV Duisburg,Bayer Leverkusen,1,3,A,0,0,D,,,,,,,,,,,
D1,21/08/1996,FC Köln,1860 München,1,0,H,1,0,H,,,,,,,,,,,
D1,23/08/1996,FC Hansa Rostock,Hamburger SV,0,1,A,0,0,D,,,,,,,,,,,
D1,23/08/1996,FC St. Pauli,FC Schalke 04,4,4,D,1,3,A,,,,,,,,,,,
D1,24/08/1996,VFL Bochum,Arminia Bielefeld,1,1,D,0,0,D,,,,,,,,,,,
D1,24/08/1996,SC Freiburg,FC Köln,1,3,A,0,1,A,,,,,,,,,,,
D1,24/08/1996,Bayer Leverkusen,Fortuna Düsseldorf,0,1,A,0,0,D,,,,,,,,,,,
D1,24/08/1996,Bor. Mönchengladbach,Karlsruher SC,1,3,A,1,2,A,,,,,,,,,,,
D1,24/08/1996,1860 München,Borussia Dortmund,1,3,A,1,0,H,,,,,,,,,,,
D1,24/08/1996,VfB Stuttgart,Werder Bremen,2,1,H,0,0,D,,,,,,,,,,,
D1,25/08/1996,MSV Duisburg,Bayern München,0,4,A,0,2,A,,,,,,,,,,,
D1,27/08/1996,Borussia Dortmund,SC Freiburg,3,1,H,2,0,H,,,,,,,,,,,
D1,27/08/1996,Hamburger SV,VfB Stuttgart,0,4,A,0,1,A,,,,,,,,,,,
D1,27/08/1996,FC Schalke 04,VFL Bochum,1,1,D,1,0,H,,,,,,,,,,,
D1,27/08/1996,Werder Bremen,Bor. Mönchengladbach,1,0,H,1,0,H,,,,,,,,,,,
D1,28/08/1996,Bayern München,Bayer Leverkusen,4,2,H,3,1,H,,,,,,,,,,,
D1,28/08/1996,Arminia Bielefeld,MSV Duisburg,1,1,D,0,0,D,,,,,,,,,,,
D1,28/08/1996,Fortuna Düsseldorf,1860 München,0,0,D,0,0,D,,,,,,,,,,,
D1,28/08/1996,FC Köln,FC Hansa Rostock,0,2,A,0,1,A,,,,,,,,,,,
D1,28/08/1996,Karlsruher SC,FC St. Pauli,4,0,H,1,0,H,,,,,,,,,,,
D1,06/09/1996,SC Freiburg,Fortuna Düsseldorf,1,2,A,1,1,D,,,,,,,,,,,
D1,06/09/1996,Bor. Mönchengladbach,Hamburger SV,3,0,H,3,0,H,,,,,,,,,,,
D1,07/09/1996,Bayern München,Arminia Bielefeld,1,0,H,0,0,D,,,,,,,,,,,
D1,07/09/1996,VFL Bochum,Karlsruher SC,3,1,H,1,0,H,,,,,,,,,,,
D1,07/09/1996,MSV Duisburg,FC Schalke 04,0,1,A,0,1,A,,,,,,,,,,,
D1,07/09/1996,FC Hansa Rostock,Borussia Dortmund,0,1,A,0,0,D,,,,,,,,,,,
D1,07/09/1996,Bayer Leverkusen,1860 München,3,0,H,2,0,H,,,,,,,,,,,
D1,07/09/1996,FC St. Pauli,Werder Bremen,0,3,A,0,2,A,,,,,,,,,,,
D1,08/09/1996,VfB Stuttgart,FC Köln,4,0,H,0,0,D,,,,,,,,,,,
D1,13/09/1996,Fortuna Düsseldorf,FC Hansa Rostock,0,2,A,0,1,A,,,,,,,,,,,
D1,13/09/1996,Werder Bremen,VFL Bochum,5,1,H,3,0,H,,,,,,,,,,,
D1,14/09/1996,Arminia Bielefeld,Bayer Leverkusen,0,1,A,0,1,A,,,,,,,,,,,
D1,14/09/1996,Borussia Dortmund,VfB Stuttgart,1,1,D,0,1,A,,,,,,,,,,,
D1,14/09/1996,FC Köln,Bor. Mönchengladbach,4,0,H,2,0,H,,,,,,,,,,,
D1,14/09/1996,Karlsruher SC,MSV Duisburg,1,0,H,1,0,H,,,,,,,,,,,
D1,14/09/1996,1860 München,SC Freiburg,4,0,H,0,0,D,,,,,,,,,,,
D1,14/09/1996,FC Schalke 04,Bayern München,1,1,D,1,0,H,,,,,,,,,,,
D1,15/09/1996,Hamburger SV,FC St. Pauli,3,0,H,1,0,H,,,,,,,,,,,
D1,17/09/1996,Karlsruher SC,VfB Stuttgart,0,2,A,0,1,A,,,,,,,,,,,
D1,20/09/1996,MSV Duisburg,Werder Bremen,3,2,H,1,0,H,,,,,,,,,,,
D1,20/09/1996,FC Hansa Rostock,1860 München,2,4,A,2,2,D,,,,,,,,,,,
D1,21/09/1996,Bayern München,Karlsruher SC,1,0,H,1,0,H,,,,,,,,,,,
D1,21/09/1996,Arminia Bielefeld,FC Schalke 04,0,1,A,0,1,A,,,,,,,,,,,
D1,21/09/1996,VFL Bochum,Hamburger SV,3,1,H,1,0,H,,,,,,,,,,,
D1,21/09/1996,Bor. Mönchengladbach,Borussia Dortmund,5,1,H,3,1,H,,,,,,,,,,,
D1,21/09/1996,FC St. Pauli,FC Köln,0,0,D,0,0,D,,,,,,,,,,,
D1,21/09/1996,VfB Stuttgart,Fortuna Düsseldorf,0,2,A,0,0,D,,,,,,,,,,,
D1,22/09/1996,Bayer Leverkusen,SC Freiburg,5,3,H,2,1,H,,,,,,,,,,,
D1,27/09/1996,FC Köln,VFL Bochum,2,0,H,0,0,D,,,,,,,,,,,
D1,27/09/1996,Karlsruher SC,Arminia Bielefeld,5,2,H,2,0,H,,,,,,,,,,,
D1,28/09/1996,Fortuna Düsseldorf,Bor. Mönchengladbach,1,0,H,1,0,H,,,,,,,,,,,
D1,28/09/1996,SC Freiburg,FC Hansa Rostock,1,0,H,0,0,D,,,,,,,,,,,
D1,28/09/1996,Hamburger SV,MSV Duisburg,1,1,D,0,0,D,,,,,,,,,,,
D1,28/09/1996,1860 München,VfB Stuttgart,2,5,A,1,2,A,,,,,,,,,,,
D1,28/09/1996,FC Schalke 04,Bayer Leverkusen,1,2,A,1,2,A,,,,,,,,,,,
D1,28/09/1996,Werder Bremen,Bayern München,3,0,H,1,0,H,,,,,,,,,,,
D1,29/09/1996,Borussia Dortmund,FC St. Pauli,2,1,H,1,0,H,,,,,,,,,,,
D1,04/10/1996,VFL Bochum,Borussia Dortmund,1,0,H,0,0,D,,,,,,,,,,,
D1,04/10/1996,Bayer Leverkusen,FC Hansa Rostock,4,1,H,1,1,D,,,,,,,,,,,
D1,04/10/1996,VfB Stuttgart,SC Freiburg,4,2,H,2,1,H,,,,,,,,,,,
D1,05/10/1996,Bayern München,Hamburger SV,2,1,H,1,0,H,,,,,,,,,,,
D1,05/10/1996,Arminia Bielefeld,Werder Bremen,3,1,H,1,0,H,,,,,,,,,,,
D1,05/10/1996,MSV Duisburg,FC Köln,3,0,H,2,0,H,,,,,,,,,,,
D1,05/10/1996,Bor. Mönchengladbach,1860 München,1,0,H,0,0,D,,,,,,,,,,,
D1,05/10/1996,FC Schalke 04,Karlsruher SC,0,1,A,0,1,A,,,,,,,,,,,
D1,05/10/1996,FC St. Pauli,Fortuna Düsseldorf,3,0,H,1,0,H,,,,,,,,,,,
D1,11/10/1996,SC Freiburg,Bor. Mönchengladbach,1,0,H,0,0,D,,,,,,,,,,,
D1,11/10/1996,1860 München,FC St. Pauli,4,2,H,1,0,H,,,,,,,,,,,
D1,12/10/1996,Borussia Dortmund,MSV Duisburg,2,0,H,0,0,D,,,,,,,,,,,
D1,12/10/1996,FC Köln,Bayern München,2,4,A,0,1,A,,,,,,,,,,,
D1,12/10/1996,Hamburger SV,Arminia Bielefeld,2,2,D,2,0,H,,,,,,,,,,,
D1,12/10/1996,FC Hansa Rostock,VfB Stuttgart,2,2,D,0,2,A,,,,,,,,,,,
D1,12/10/1996,Karlsruher SC,Bayer Leverkusen,1,1,D,1,0,H,,,,,,,,,,,
D1,12/10/1996,Werder Bremen,FC Schalke 04,3,0,H,1,0,H,,,,,,,,,,,
D1,13/10/1996,Fortuna Düsseldorf,VFL Bochum,2,2,D,2,0,H,,,,,,,,,,,
D1,18/10/1996,VFL Bochum,1860 München,2,2,D,0,1,A,,,,,,,,,,,
D1,18/10/1996,Bayer Leverkusen,VfB Stuttgart,0,0,D,0,0,D,,,,,,,,,,,
D1,19/10/1996,Arminia Bielefeld,FC Köln,1,4,A,0,1,A,,,,,,,,,,,
D1,19/10/1996,MSV Duisburg,Fortuna Düsseldorf,0,0,D,0,0,D,,,,,,,,,,,
D1,19/10/1996,Karlsruher SC,Werder Bremen,1,3,A,1,0,H,,,,,,,,,,,
D1,19/10/1996,Bor. Mönchengladbach,FC Hansa Rostock,2,0,H,0,0,D,,,,,,,,,,,
D1,19/10/1996,FC Schalke 04,Hamburger SV,2,0,H,1,0,H,,,,,,,,,,,
D1,19/10/1996,FC St. Pauli,SC Freiburg,2,0,H,1,0,H,,,,,,,,,,,
D1,20/10/1996,Bayern München,Borussia Dortmund,0,0,D,0,0,D,,,,,,,,,,,
D1,25/10/1996,FC Hansa Rostock,FC St. Pauli,3,1,H,3,0,H,,,,,,,,,,,
D1,25/10/1996,Werder Bremen,Bayer Leverkusen,1,1,D,1,0,H,,,,,,,,,,,
D1,26/10/1996,Borussia Dortmund,Arminia Bielefeld,5,0,H,2,0,H,,,,,,,,,,,
D1,26/10/1996,Fortuna Düsseldorf,Bayern München,0,2,A,0,1,A,,,,,,,,,,,
D1,26/10/1996,FC Köln,FC Schalke 04,3,1,H,1,0,H,,,,,,,,,,,
D1,26/10/1996,Hamburger SV,Karlsruher SC,2,0,H,1,0,H,,,,,,,,,,,
D1,26/10/1996,1860 München,MSV Duisburg,1,1,D,1,1,D,,,,,,,,,,,
D1,26/10/1996,VfB Stuttgart,Bor. Mönchengladbach,5,0,H,1,0,H,,,,,,,,,,,
D1,27/10/1996,SC Freiburg,VFL Bochum,0,1,A,0,1,A,,,,,,,,,,,
D1,01/11/1996,Bayern München,1860 München,1,1,D,1,0,H,,,,,,,,,,,
D1,01/11/1996,VFL Bochum,FC Hansa Rostock,1,0,H,0,0,D,,,,,,,,,,,
D1,02/11/1996,Arminia Bielefeld,Fortuna Düsseldorf,1,0,H,0,0,D,,,,,,,,,,,
D1,02/11/1996,MSV Duisburg,SC Freiburg,1,4,A,0,1,A,,,,,,,,,,,
D1,02/11/1996,Bayer Leverkusen,Bor. Mönchengladbach,3,0,H,0,0,D,,,,,,,,,,,
D1,02/11/1996,FC Schalke 04,Borussia Dortmund,1,3,A,0,1,A,,,,,,,,,,,
D1,02/11/1996,FC St. Pauli,VfB Stuttgart,2,1,H,1,1,D,,,,,,,,,,,
D1,02/11/1996,Werder Bremen,Hamburger SV,0,0,D,0,0,D,,,,,,,,,,,
D1,03/11/1996,Karlsruher SC,FC Köln,4,1,H,1,1,D,,,,,,,,,,,
D1,15/11/1996,FC Köln,Werder Bremen,4,1,H,1,0,H,,,,,,,,,,,
D1,15/11/1996,Bor. Mönchengladbach,FC St. Pauli,0,0,D,0,0,D,,,,,,,,,,,
D1,16/11/1996,Borussia Dortmund,Karlsruher SC,1,1,D,1,1,D,,,,,,,,,,,
D1,16/11/1996,Fortuna Düsseldorf,FC Schalke 04,1,3,A,1,2,A,,,,,,,,,,,
D1,16/11/1996,SC Freiburg,Bayern München,0,0,D,0,0,D,,,,,,,,,,,
D1,16/11/1996,Hamburger SV,Bayer Leverkusen,0,2,A,0,0,D,,,,,,,,,,,
D1,16/11/1996,1860 München,Arminia Bielefeld,1,3,A,1,1,D,,,,,,,,,,,
D1,16/11/1996,VfB Stuttgart,VFL Bochum,3,1,H,3,1,H,,,,,,,,,,,
D1,17/11/1996,FC Hansa Rostock,MSV Duisburg,0,1,A,0,0,D,,,,,,,,,,,
D1,22/11/1996,VFL Bochum,Bor. Mönchengladbach,2,0,H,1,0,H,,,,,,,,,,,
D1,22/11/1996,Karlsruher SC,Fortuna Düsseldorf,2,0,H,0,0,D,,,,,,,,,,,
D1,23/11/1996,Bayern München,FC Hansa Rostock,2,1,H,2,0,H,,,,,,,,,,,
D1,23/11/1996,Arminia Bielefeld,SC Freiburg,2,0,H,1,0,H,,,,,,,,,,,
D1,23/11/1996,FC Köln,Hamburger SV,2,2,D,1,2,A,,,,,,,,,,,
D1,23/11/1996,FC Schalke 04,1860 München,4,1,H,2,1,H,,,,,,,,,,,
D1,23/11/1996,FC St. Pauli,Bayer Leverkusen,3,1,H,2,0,H,,,,,,,,,,,
D1,23/11/1996,Werder Bremen,Borussia Dortmund,0,4,A,0,3,A,,,,,,,,,,,
D1,24/11/1996,MSV Duisburg,VfB Stuttgart,3,1,H,1,1,D,,,,,,,,,,,
D1,29/11/1996,Borussia Dortmund,Hamburger SV,1,1,D,1,0,H,,,,,,,,,,,
D1,30/11/1996,Fortuna Düsseldorf,Werder Bremen,4,1,H,2,0,H,,,,,,,,,,,
D1,30/11/1996,SC Freiburg,FC Schalke 04,2,3,A,1,1,D,,,,,,,,,,,
D1,30/11/1996,FC Hansa Rostock,Arminia Bielefeld,3,1,H,1,1,D,,,,,,,,,,,
D1,30/11/1996,Bayer Leverkusen,FC Köln,4,2,H,0,0,D,,,,,,,,,,,
D1,30/11/1996,Bor. Mönchengladbach,MSV Duisburg,0,1,A,0,0,D,,,,,,,,,,,
D1,30/11/1996,1860 München,Karlsruher SC,1,1,D,0,0,D,,,,,,,,,,,
D1,01/12/1996,VfB Stuttgart,Bayern München,1,1,D,0,1,A,,,,,,,,,,,
D1,06/12/1996,VFL Bochum,Bayer Leverkusen,2,2,D,1,1,D,,,,,,,,,,,
D1,06/12/1996,Karlsruher SC,SC Freiburg,3,0,H,2,0,H,,,,,,,,,,,
D1,06/12/1996,FC Schalke 04,FC Hansa Rostock,2,0,H,2,0,H,,,,,,,,,,,
D1,06/12/1996,Werder Bremen,1860 München,1,1,D,0,1,A,,,,,,,,,,,
D1,07/12/1996,Bayern München,Bor. Mönchengladbach,1,0,H,0,0,D,,,,,,,,,,,
D1,07/12/1996,Arminia Bielefeld,VfB Stuttgart,2,0,H,1,0,H,,,,,,,,,,,
D1,07/12/1996,MSV Duisburg,FC St. Pauli,1,0,H,0,0,D,,,,,,,,,,,
D1,07/12/1996,FC Köln,Borussia Dortmund,1,3,A,1,0,H,,,,,,,,,,,
D1,07/12/1996,Hamburger SV,Fortuna Düsseldorf,2,1,H,0,1,A,,,,,,,,,,,
D1,14/02/1997,Borussia Dortmund,Bayer Leverkusen,3,1,H,1,1,D,,,,,,,,,,,
D1,14/02/1997,FC Köln,Fortuna Düsseldorf,2,0,H,1,0,H,,,,,,,,,,,
D1,15/02/1997,Bayern München,FC St. Pauli,3,0,H,1,0,H,,,,,,,,,,,
D1,15/02/1997,MSV Duisburg,VFL Bochum,1,1,D,1,1,D,,,,,,,,,,,
D1,15/02/1997,Hamburger SV,1860 München,2,3,A,0,0,D,,,,,,,,,,,
D1,15/02/1997,Karlsruher SC,FC Hansa Rostock,1,1,D,1,0,H,,,,,,,,,,,
D1,15/02/1997,FC Schalke 04,VfB Stuttgart,1,0,H,1,0,H,,,,,,,,,,,
D1,15/02/1997,Werder Bremen,SC Freiburg,1,0,H,0,0,D,,,,,,,,,,,
D1,16/02/1997,Arminia Bielefeld,Bor. Mönchengladbach,0,2,A,0,1,A,,,,,,,,,,,
D1,21/02/1997,Fortuna Düsseldorf,Borussia Dortmund,2,0,H,0,0,D,,,,,,,,,,,
D1,21/02/1997,SC Freiburg,Hamburger SV,0,4,A,0,2,A,,,,,,,,,,,
D1,21/02/1997,FC St. Pauli,Arminia Bielefeld,2,3,A,1,2,A,,,,,,,,,,,
D1,22/02/1997,VFL Bochum,Bayern München,1,1,D,0,0,D,,,,,,,,,,,
D1,22/02/1997,FC Hansa Rostock,Werder Bremen,0,1,A,0,1,A,,,,,,,,,,,
D1,22/02/1997,Bayer Leverkusen,MSV Duisburg,1,0,H,1,0,H,,,,,,,,,,,
D1,22/02/1997,Bor. Mönchengladbach,FC Schalke 04,0,0,D,0,0,D,,,,,,,,,,,
D1,22/02/1997,1860 München,FC Köln,2,1,H,0,0,D,,,,,,,,,,,
D1,22/02/1997,VfB Stuttgart,Karlsruher SC,1,0,H,0,0,D,,,,,,,,,,,
D1,28/02/1997,Arminia Bielefeld,VFL Bochum,3,1,H,2,0,H,,,,,,,,,,,
