Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D1,11/08/1995,Borussia Dortmund,FC Kaiserslautern,1,1,D,0,0,D,,,,,,,,,,,
D1,11/08/1995,VfB Stuttgart,KFC Uerdingen 05,0,0,D,0,0,D,,,,,,,,,,,
D1,11/08/1995,Werder Bremen,Fortuna Düsseldorf,1,1,D,1,1,D,,,,,,,,,,,
D1,12/08/1995,Bayern München,Hamburger SV,3,2,H,1,1,D,,,,,,,,,,,
D1,12/08/1995,Eintracht Frankfurt,Karlsruher SC,2,2,D,1,1,D,,,,,,,,,,,
D1,12/08/1995,FC Köln,FC Schalke 04,0,1,A,0,0,D,,,,,,,,,,,
D1,12/08/1995,FC Hansa Rostock,Bayer Leverkusen,1,2,A,0,2,A,,,,,,,,,,,
D1,12/08/1995,FC St. Pauli,1860 München,4,2,H,1,1,D,,,,,,,,,,,
D1,13/08/1995,Bor. Mönchengladbach,SC Freiburg,1,0,H,0,0,D,,,,,,,,,,,
D1,18/08/1995,SC Freiburg,FC St. Pauli,0,2,A,0,0,D,,,,,,,,,,,
D1,18/08/1995,Hamburger SV,Werder Bremen,3,3,D,2,1,H,,,,,,,,,,,
D1,18/08/1995,FC Schalke 04,FC Hansa Rostock,1,3,A,0,1,A,,,,,,,,,,,
D1,19/08/1995,FC Kaiserslautern,Bor. Mönchengladbach,1,3,A,0,1,A,,,,,,,,,,,
D1,19/08/1995,Karlsruher SC,Bayern München,2,6,A,1,3,A,,,,,,,,,,,
D1,19/08/1995,Bayer Leverkusen,Borussia Dortmund,1,1,D,0,0,D,,,,,,,,,,,
D1,19/08/1995,1860 München,VfB Stuttgart,1,1,D,1,0,H,,,,,,,,,,,
D1,19/08/1995,KFC Uerdingen 05,Eintracht Frankfurt,1,1,D,0,1,A,,,,,,,,,,,
D1,20/08/1995,Fortuna Düsseldorf,FC Köln,1,1,D,1,0,H,,,,,,,,,,,
D1,29/08/1995,FC Köln,Hamburger SV,3,2,H,1,0,H,,,,,,,,,,,
D1,29/08/1995,FC Hansa Rostock,Borussia Dortmund,3,2,H,1,1,D,,,,,,,,,,,
D1,29/08/1995,Bor. Mönchengladbach,Bayer Leverkusen,0,0,D,0,0,D,,,,,,,,,,,
D1,29/08/1995,FC St. Pauli,FC Kaiserslautern,1,2,A,0,2,A,,,,,,,,,,,
D1,29/08/1995,Werder Bremen,Karlsruher SC,1,0,H,0,0,D,,,,,,,,,,,
D1,30/08/1995,Bayern München,KFC Uerdingen 05,2,0,H,1,0,H,,,,,,,,,,,
D1,30/08/1995,Eintracht Frankfurt,1860 München,4,2,H,0,0,D,,,,,,,,,,,
D1,30/08/1995,FC Schalke 04,Fortuna Düsseldorf,1,1,D,0,1,A,,,,,,,,,,,
D1,30/08/1995,VfB Stuttgart,SC Freiburg,3,1,H,2,1,H,,,,,,,,,,,
D1,01/09/1995,Borussia Dortmund,Bor. Mönchengladbach,2,1,H,0,1,A,,,,,,,,,,,
D1,01/09/1995,Karlsruher SC,FC Köln,1,0,H,0,0,D,,,,,,,,,,,
D1,02/09/1995,Fortuna Düsseldorf,FC Hansa Rostock,2,2,D,0,1,A,,,,,,,,,,,
D1,02/09/1995,SC Freiburg,Eintracht Frankfurt,2,0,H,1,0,H,,,,,,,,,,,
D1,02/09/1995,Hamburger SV,FC Schalke 04,1,1,D,0,1,A,,,,,,,,,,,
D1,02/09/1995,FC Kaiserslautern,VfB Stuttgart,1,1,D,1,0,H,,,,,,,,,,,
D1,02/09/1995,Bayer Leverkusen,FC St. Pauli,1,1,D,0,0,D,,,,,,,,,,,
D1,02/09/1995,1860 München,Bayern München,0,2,A,0,0,D,,,,,,,,,,,
D1,02/09/1995,KFC Uerdingen 05,Werder Bremen,3,0,H,1,0,H,,,,,,,,,,,
D1,08/09/1995,FC Köln,KFC Uerdingen 05,0,0,D,0,0,D,,,,,,,,,,,
D1,08/09/1995,Werder Bremen,1860 München,2,0,H,0,0,D,,,,,,,,,,,
D1,09/09/1995,Bayern München,SC Freiburg,2,0,H,1,0,H,,,,,,,,,,,
D1,09/09/1995,Fortuna Düsseldorf,Hamburger SV,2,2,D,1,1,D,,,,,,,,,,,
D1,09/09/1995,Eintracht Frankfurt,FC Kaiserslautern,3,1,H,1,0,H,,,,,,,,,,,
D1,09/09/1995,FC Hansa Rostock,Bor. Mönchengladbach,2,3,A,2,2,D,,,,,,,,,,,
D1,09/09/1995,FC Schalke 04,Karlsruher SC,2,1,H,1,0,H,,,,,,,,,,,
D1,09/09/1995,FC St. Pauli,Borussia Dortmund,0,3,A,0,0,D,,,,,,,,,,,
D1,09/09/1995,VfB Stuttgart,Bayer Leverkusen,1,4,A,0,0,D,,,,,,,,,,,
D1,15/09/1995,FC Kaiserslautern,Bayern München,2,3,A,1,2,A,,,,,,,,,,,
D1,15/09/1995,Karlsruher SC,Fortuna Düsseldorf,3,1,H,1,1,D,,,,,,,,,,,
D1,16/09/1995,Borussia Dortmund,VfB Stuttgart,6,3,H,4,1,H,,,,,,,,,,,
D1,16/09/1995,SC Freiburg,Werder Bremen,0,1,A,0,0,D,,,,,,,,,,,
D1,16/09/1995,Bayer Leverkusen,Eintracht Frankfurt,2,0,H,1,0,H,,,,,,,,,,,
D1,16/09/1995,1860 München,FC Köln,2,1,H,1,1,D,,,,,,,,,,,
D1,16/09/1995,KFC Uerdingen 05,FC Schalke 04,1,1,D,0,1,A,,,,,,,,,,,
D1,17/09/1995,Hamburger SV,FC Hansa Rostock,1,1,D,1,1,D,,,,,,,,,,,
D1,17/09/1995,Bor. Mönchengladbach,FC St. Pauli,2,4,A,0,3,A,,,,,,,,,,,
D1,22/09/1995,Fortuna Düsseldorf,KFC Uerdingen 05,1,0,H,0,0,D,,,,,,,,,,,
D1,22/09/1995,Eintracht Frankfurt,Borussia Dortmund,3,4,A,3,2,H,,,,,,,,,,,
D1,23/09/1995,Bayern München,Bayer Leverkusen,1,0,H,0,0,D,,,,,,,,,,,
D1,23/09/1995,FC Köln,SC Freiburg,1,1,D,0,1,A,,,,,,,,,,,
