Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D1,20/09/1997,Werder Bremen,Borussia Dortmund,2,1,H,2,1,H,,,,,,,,,,,
D1,21/09/1997,VfB Stuttgart,Bor. Mönchengladbach,3,0,H,2,0,H,,,,,,,,,,,
D1,26/09/1997,Bayern München,FC Schalke 04,1,1,D,0,1,A,,,,,,,,,,,
D1,26/09/1997,MSV Duisburg,Arminia Bielefeld,2,1,H,2,0,H,,,,,,,,,,,
D1,27/09/1997,Borussia Dortmund,1860 München,2,3,A,1,2,A,,,,,,,,,,,
D1,27/09/1997,Hamburger SV,VFL Bochum,2,1,H,0,0,D,,,,,,,,,,,
D1,27/09/1997,FC Kaiserslautern,Werder Bremen,1,3,A,1,0,H,,,,,,,,,,,
D1,27/09/1997,Bayer Leverkusen,FC Hansa Rostock,1,1,D,0,1,A,,,,,,,,,,,
D1,27/09/1997,Bor. Mönchengladbach,Karlsruher SC,1,1,D,0,0,D,,,,,,,,,,,
D1,27/09/1997,VFL Wolfsburg,VfB Stuttgart,1,0,H,0,0,D,,,,,,,,,,,
D1,28/09/1997,Hertha BSC,FC Köln,1,0,H,1,0,H,,,,,,,,,,,
D1,03/10/1997,1860 München,FC Kaiserslautern,1,3,A,1,2,A,,,,,,,,,,,
D1,03/10/1997,Werder Bremen,Bor. Mönchengladbach,1,0,H,0,0,D,,,,,,,,,,,
D1,04/10/1997,Arminia Bielefeld,Borussia Dortmund,3,1,H,0,0,D,,,,,,,,,,,
D1,04/10/1997,VFL Bochum,Bayern München,2,3,A,1,2,A,,,,,,,,,,,
D1,04/10/1997,FC Hansa Rostock,FC Köln,1,2,A,0,1,A,,,,,,,,,,,
D1,04/10/1997,Karlsruher SC,VFL Wolfsburg,2,1,H,2,0,H,,,,,,,,,,,
D1,04/10/1997,Bayer Leverkusen,MSV Duisburg,2,1,H,2,1,H,,,,,,,,,,,
D1,04/10/1997,FC Schalke 04,Hertha BSC,1,0,H,0,0,D,,,,,,,,,,,
D1,05/10/1997,VfB Stuttgart,Hamburger SV,5,2,H,1,1,D,,,,,,,,,,,
D1,14/10/1997,Borussia Dortmund,Bayer Leverkusen,0,1,A,0,0,D,,,,,,,,,,,
D1,14/10/1997,FC Köln,FC Schalke 04,0,2,A,0,1,A,,,,,,,,,,,
D1,14/10/1997,Hamburger SV,Karlsruher SC,3,1,H,1,1,D,,,,,,,,,,,
D1,14/10/1997,Hertha BSC,VFL Bochum,2,2,D,1,1,D,,,,,,,,,,,
D1,14/10/1997,VFL Wolfsburg,Werder Bremen,1,0,H,0,0,D,,,,,,,,,,,
D1,15/10/1997,Bayern München,VfB Stuttgart,3,3,D,1,1,D,,,,,,,,,,,
D1,15/10/1997,MSV Duisburg,FC Hansa Rostock,0,1,A,0,1,A,,,,,,,,,,,
D1,15/10/1997,FC Kaiserslautern,Arminia Bielefeld,3,1,H,2,1,H,,,,,,,,,,,
D1,15/10/1997,Bor. Mönchengladbach,1860 München,5,1,H,2,1,H,,,,,,,,,,,
D1,17/10/1997,VFL Bochum,FC Köln,2,1,H,1,0,H,,,,,,,,,,,
D1,17/10/1997,Werder Bremen,Hamburger SV,0,0,D,0,0,D,,,,,,,,,,,
D1,18/10/1997,MSV Duisburg,Borussia Dortmund,0,0,D,0,0,D,,,,,,,,,,,
D1,18/10/1997,FC Hansa Rostock,FC Schalke 04,4,1,H,2,0,H,,,,,,,,,,,
D1,18/10/1997,Karlsruher SC,Bayern München,1,1,D,1,0,H,,,,,,,,,,,
D1,18/10/1997,Bayer Leverkusen,FC Kaiserslautern,1,1,D,0,0,D,,,,,,,,,,,
D1,18/10/1997,1860 München,VFL Wolfsburg,2,1,H,2,0,H,,,,,,,,,,,
D1,18/10/1997,VfB Stuttgart,Hertha BSC,4,1,H,2,0,H,,,,,,,,,,,
D1,19/10/1997,Arminia Bielefeld,Bor. Mönchengladbach,3,1,H,2,1,H,,,,,,,,,,,
D1,24/10/1997,FC Kaiserslautern,MSV Duisburg,1,0,H,1,0,H,,,,,,,,,,,
D1,24/10/1997,FC Schalke 04,VFL Bochum,2,0,H,0,0,D,,,,,,,,,,,
D1,25/10/1997,Bayern München,Werder Bremen,2,0,H,1,0,H,,,,,,,,,,,
D1,25/10/1997,Borussia Dortmund,FC Hansa Rostock,3,2,H,2,1,H,,,,,,,,,,,
D1,25/10/1997,Hamburger SV,1860 München,1,2,A,0,1,A,,,,,,,,,,,
D1,25/10/1997,Hertha BSC,Karlsruher SC,3,1,H,0,1,A,,,,,,,,,,,
D1,25/10/1997,Bor. Mönchengladbach,Bayer Leverkusen,2,2,D,1,1,D,,,,,,,,,,,
D1,25/10/1997,VFL Wolfsburg,Arminia Bielefeld,2,0,H,1,0,H,,,,,,,,,,,
D1,26/10/1997,FC Köln,VfB Stuttgart,4,2,H,3,1,H,,,,,,,,,,,
D1,31/10/1997,Borussia Dortmund,FC Kaiserslautern,2,2,D,2,1,H,,,,,,,,,,,
D1,31/10/1997,MSV Duisburg,Bor. Mönchengladbach,4,5,A,2,2,D,,,,,,,,,,,
D1,31/10/1997,Bayer Leverkusen,VFL Wolfsburg,2,1,H,1,0,H,,,,,,,,,,,
D1,01/11/1997,FC Hansa Rostock,VFL Bochum,2,2,D,1,0,H,,,,,,,,,,,
D1,01/11/1997,Karlsruher SC,FC Köln,3,1,H,0,1,A,,,,,,,,,,,
D1,01/11/1997,1860 München,Bayern München,2,2,D,1,1,D,,,,,,,,,,,
D1,01/11/1997,VfB Stuttgart,FC Schalke 04,0,0,D,0,0,D,,,,,,,,,,,
D1,01/11/1997,Werder Bremen,Hertha BSC,0,2,A,0,1,A,,,,,,,,,,,
D1,02/11/1997,Arminia Bielefeld,Hamburger SV,0,3,A,0,1,A,,,,,,,,,,,
D1,07/11/1997,FC Kaiserslautern,FC Hansa Rostock,4,3,H,2,2,D,,,,,,,,,,,
D1,07/11/1997,VFL Wolfsburg,MSV Duisburg,0,2,A,0,2,A,,,,,,,,,,,
D1,08/11/1997,Bayern München,Arminia Bielefeld,1,0,H,1,0,H,,,,,,,,,,,
D1,08/11/1997,FC Köln,Werder Bremen,2,0,H,0,0,D,,,,,,,,,,,
D1,08/11/1997,Hamburger SV,Bayer Leverkusen,0,1,A,0,0,D,,,,,,,,,,,
D1,08/11/1997,Hertha BSC,1860 München,2,0,H,2,0,H,,,,,,,,,,,
D1,08/11/1997,Bor. Mönchengladbach,Borussia Dortmund,1,1,D,1,1,D,,,,,,,,,,,
D1,08/11/1997,FC Schalke 04,Karlsruher SC,2,0,H,0,0,D,,,,,,,,,,,
D1,09/11/1997,VFL Bochum,VfB Stuttgart,0,2,A,0,0,D,,,,,,,,,,,
D1,11/11/1997,Borussia Dortmund,Bayern München,0,2,A,0,2,A,,,,,,,,,,,
D1,11/11/1997,Bayer Leverkusen,FC Köln,4,0,H,2,0,H,,,,,,,,,,,
D1,18/11/1997,Borussia Dortmund,VFL Wolfsburg,2,1,H,1,0,H,,,,,,,,,,,
D1,18/11/1997,MSV Duisburg,Hamburger SV,3,0,H,2,0,H,,,,,,,,,,,
D1,18/11/1997,Karlsruher SC,VFL Bochum,1,1,D,0,0,D,,,,,,,,,,,
D1,18/11/1997,Werder Bremen,FC Schalke 04,2,1,H,2,1,H,,,,,,,,,,,
D1,19/11/1997,Arminia Bielefeld,Hertha BSC,1,3,A,1,0,H,,,,,,,,,,,
D1,19/11/1997,Bor. Mönchengladbach,FC Kaiserslautern,1,3,A,0,1,A,,,,,,,,,,,
D1,19/11/1997,1860 München,FC Köln,1,0,H,1,0,H,,,,,,,,,,,
D1,19/11/1997,VfB Stuttgart,FC Hansa Rostock,2,1,H,1,0,H,,,,,,,,,,,
D1,21/11/1997,VFL Bochum,Werder Bremen,0,1,A,0,0,D,,,,,,,,,,,
D1,21/11/1997,Hamburger SV,Borussia Dortmund,1,3,A,1,1,D,,,,,,,,,,,
D1,22/11/1997,Bayern München,MSV Duisburg,3,0,H,2,0,H,,,,,,,,,,,
D1,22/11/1997,FC Köln,Arminia Bielefeld,3,5,A,2,2,D,,,,,,,,,,,
D1,22/11/1997,Hertha BSC,Bayer Leverkusen,2,2,D,2,0,H,,,,,,,,,,,
D1,22/11/1997,FC Schalke 04,1860 München,2,0,H,0,0,D,,,,,,,,,,,
D1,22/11/1997,VfB Stuttgart,Karlsruher SC,3,0,H,2,0,H,,,,,,,,,,,
D1,22/11/1997,VFL Wolfsburg,FC Kaiserslautern,2,1,H,1,0,H,,,,,,,,,,,
D1,23/11/1997,FC Hansa Rostock,Bor. Mönchengladbach,2,0,H,2,0,H,,,,,,,,,,,
D1,28/11/1997,MSV Duisburg,Hertha BSC,0,1,A,0,1,A,,,,,,,,,,,
D1,28/11/1997,Karlsruher SC,FC Hansa Rostock,3,0,H,1,0,H,,,,,,,,,,,
D1,29/11/1997,Arminia Bielefeld,FC Schalke 04,1,1,D,0,0,D,,,,,,,,,,,
D1,29/11/1997,FC Kaiserslautern,Hamburger SV,2,1,H,0,0,D,,,,,,,,,,,
D1,29/11/1997,Bor. Mönchengladbach,VFL Wolfsburg,0,2,A,0,2,A,,,,,,,,,,,
D1,29/11/1997,1860 München,VFL Bochum,0,2,A,0,2,A,,,,,,,,,,,
