Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
D1,01/10/1994,Karlsruher SC,FC Kaiserslautern,3,3,D,,,,,,,,,,,,,,,,,,,,,
D1,01/10/1994,Bayer Leverkusen,VfB Stuttgart,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,01/10/1994,FC Schalke 04,Eintracht Frankfurt,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,01/10/1994,KFC Uerdingen 05,Borussia Dortmund,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,02/10/1994,SC Freiburg,Bor. Mönchengladbach,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,05/10/1994,FC Kaiserslautern,Bayern München,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,06/10/1994,Werder Bremen,Hamburger SV,1,4,A,,,,,,,,,,,,,,,,,,,,,
D1,08/10/1994,Borussia Dortmund,FC Schalke 04,3,2,H,,,,,,,,,,,,,,,,,,,,,
D1,08/10/1994,MSV Duisburg,SC Freiburg,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,08/10/1994,Eintracht Frankfurt,Karlsruher SC,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,08/10/1994,FC Köln,Dynamo Dresden,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,08/10/1994,Hamburger SV,VFL Bochum,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,08/10/1994,Bor. Mönchengladbach,Bayer Leverkusen,3,3,D,,,,,,,,,,,,,,,,,,,,,
D1,08/10/1994,1860 München,Werder Bremen,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,08/10/1994,VfB Stuttgart,KFC Uerdingen 05,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,15/10/1994,Bayern München,Eintracht Frankfurt,3,3,D,,,,,,,,,,,,,,,,,,,,,
D1,15/10/1994,VFL Bochum,1860 München,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,15/10/1994,Dynamo Dresden,FC Kaiserslautern,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,15/10/1994,SC Freiburg,Hamburger SV,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,15/10/1994,Karlsruher SC,Borussia Dortmund,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,15/10/1994,Bayer Leverkusen,KFC Uerdingen 05,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,15/10/1994,Bor. Mönchengladbach,MSV Duisburg,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,15/10/1994,FC Schalke 04,VfB Stuttgart,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,15/10/1994,Werder Bremen,FC Köln,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,22/10/1994,Borussia Dortmund,Bayern München,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,22/10/1994,MSV Duisburg,Bayer Leverkusen,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,22/10/1994,Eintracht Frankfurt,Dynamo Dresden,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,22/10/1994,FC Köln,VFL Bochum,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,22/10/1994,Hamburger SV,Bor. Mönchengladbach,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,22/10/1994,1860 München,SC Freiburg,4,0,H,,,,,,,,,,,,,,,,,,,,,
D1,22/10/1994,VfB Stuttgart,Karlsruher SC,4,0,H,,,,,,,,,,,,,,,,,,,,,
D1,22/10/1994,KFC Uerdingen 05,FC Schalke 04,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,23/10/1994,FC Kaiserslautern,Werder Bremen,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,28/10/1994,VFL Bochum,FC Kaiserslautern,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,29/10/1994,Bayern München,VfB Stuttgart,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,29/10/1994,Dynamo Dresden,Borussia Dortmund,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,29/10/1994,SC Freiburg,FC Köln,4,2,H,,,,,,,,,,,,,,,,,,,,,
D1,29/10/1994,Karlsruher SC,KFC Uerdingen 05,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,29/10/1994,Bayer Leverkusen,FC Schalke 04,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,29/10/1994,Bor. Mönchengladbach,1860 München,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,29/10/1994,Werder Bremen,Eintracht Frankfurt,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,30/10/1994,MSV Duisburg,Hamburger SV,0,5,A,,,,,,,,,,,,,,,,,,,,,
D1,04/11/1994,FC Schalke 04,Karlsruher SC,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,04/11/1994,VfB Stuttgart,Dynamo Dresden,4,2,H,,,,,,,,,,,,,,,,,,,,,
D1,05/11/1994,Eintracht Frankfurt,VFL Bochum,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,05/11/1994,FC Köln,Bor. Mönchengladbach,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,05/11/1994,Hamburger SV,Bayer Leverkusen,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,05/11/1994,FC Kaiserslautern,SC Freiburg,3,2,H,,,,,,,,,,,,,,,,,,,,,
D1,05/11/1994,1860 München,MSV Duisburg,1,1,D,,,,,,,,,,,,,,,,,,,,,
