Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D1,13/08/1999,MSV Duisburg,Bayer Leverkusen,0,0,D,0,0,D,,,,,,,,,,,
D1,13/08/1999,VFL Wolfsburg,1860 München,2,1,H,0,1,A,,,,,,,,,,,
D1,14/08/1999,Bayern München,Hamburger SV,2,2,D,1,1,D,,,,,,,,,,,
D1,14/08/1999,Eintracht Frankfurt,SpVgg Unterhaching,3,0,H,1,0,H,,,,,,,,,,,
D1,14/08/1999,FC Kaiserslautern,Borussia Dortmund,1,0,H,0,0,D,,,,,,,,,,,
D1,14/08/1999,FC Schalke 04,Arminia Bielefeld,1,1,D,1,0,H,,,,,,,,,,,
D1,14/08/1999,VfB Stuttgart,Werder Bremen,0,0,D,0,0,D,,,,,,,,,,,
D1,15/08/1999,Hertha BSC,FC Hansa Rostock,5,2,H,2,1,H,,,,,,,,,,,
D1,15/08/1999,SSV Ulm 1846,SC Freiburg,1,1,D,0,1,A,,,,,,,,,,,
D1,20/08/1999,Arminia Bielefeld,Hertha BSC,1,1,D,0,0,D,,,,,,,,,,,
D1,20/08/1999,SpVgg Unterhaching,MSV Duisburg,2,0,H,0,0,D,,,,,,,,,,,
D1,21/08/1999,Borussia Dortmund,VFL Wolfsburg,2,1,H,0,0,D,,,,,,,,,,,
D1,21/08/1999,SC Freiburg,Eintracht Frankfurt,2,3,A,1,0,H,,,,,,,,,,,
D1,21/08/1999,Hamburger SV,VfB Stuttgart,3,0,H,1,0,H,,,,,,,,,,,
D1,21/08/1999,1860 München,SSV Ulm 1846,4,1,H,4,1,H,,,,,,,,,,,
D1,21/08/1999,Werder Bremen,FC Schalke 04,0,1,A,0,0,D,,,,,,,,,,,
D1,22/08/1999,FC Hansa Rostock,FC Kaiserslautern,4,2,H,4,2,H,,,,,,,,,,,
D1,22/08/1999,Bayer Leverkusen,Bayern München,2,0,H,0,0,D,,,,,,,,,,,
D1,27/08/1999,FC Kaiserslautern,Arminia Bielefeld,0,2,A,0,0,D,,,,,,,,,,,
D1,27/08/1999,FC Schalke 04,Hamburger SV,1,3,A,1,1,D,,,,,,,,,,,
D1,28/08/1999,Bayern München,SpVgg Unterhaching,1,0,H,1,0,H,,,,,,,,,,,
D1,28/08/1999,SC Freiburg,1860 München,3,0,H,1,0,H,,,,,,,,,,,
D1,28/08/1999,Hertha BSC,Werder Bremen,1,1,D,1,0,H,,,,,,,,,,,
