Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
D1,03/11/2000,Bayer Leverkusen,Eintracht Frankfurt,1,0,H,0,0,D,22000,Herbert Fandel ,26,3,14,3,1,0,8,3,13,16,7,2,1,2,0,0,10,20,1.5,3.4,6.2,1.5,3.4,4.7,1.45,3.6,6.5,1.3,3.75,8.5,1.35,3.6,9
D1,04/11/2000,Bayern München,Borussia Dortmund,6,2,H,3,1,H,62000,Hartmut Strampe ,24,17,8,9,2,0,7,7,20,17,1,8,4,5,0,1,40,75,1.55,3.5,5.5,1.6,3.2,4.2,1.5,3.6,5.5,1.53,3.5,5.5,1.53,3.4,5.5
D1,04/11/2000,VFL Bochum,1860 München,1,1,D,0,0,D,18000,Markus Merk ,14,18,6,4,0,1,7,3,12,24,4,0,2,4,0,0,20,40,2.35,2.95,2.8,2.3,2.9,2.5,2.25,3.4,2.6,2.38,3.1,2.7,2.5,3.1,2.5
D1,04/11/2000,Hamburger SV,SC Freiburg,5,0,H,4,0,H,38000,Helmut Krug ,21,11,9,5,0,0,3,3,20,15,0,6,1,2,0,0,10,20,1.6,3.45,4.8,1.45,3.5,5,1.5,3.4,6,1.45,3.6,6.5,1.53,3.4,5.5
D1,04/11/2000,Hertha BSC,Werder Bremen,4,1,H,2,0,H,30000,Franz-Xaver Wack ,16,12,7,5,0,0,7,6,21,18,2,0,1,2,0,1,10,45,1.6,3.4,5.1,1.65,3.1,4,1.55,3.5,5,1.55,3.4,5.5,1.61,3.3,5
D1,04/11/2000,FC Kaiserslautern,FC Schalke 04,3,2,H,0,1,A,41500,Edgar Steinborn ,14,7,5,2,0,0,4,3,13,20,6,2,3,2,0,0,30,20,2.05,3.1,3.25,2,2.9,3,1.9,3.4,3.25,1.91,3.2,3.5,2,3.1,3.3
D1,04/11/2000,VfB Stuttgart,FC Hansa Rostock,1,0,H,1,0,H,16000,Michael Weiner ,16,7,8,3,1,0,0,4,17,15,1,4,2,3,0,0,20,30,1.8,3.3,3.8,1.7,3.1,3.8,1.67,3.4,4.3,1.75,3.25,4,1.8,3.3,3.75
D1,05/11/2000,SpVgg Unterhaching,FC Köln,0,0,D,0,0,D,9500,Bernd Heynemann ,6,9,4,4,1,0,4,5,15,11,1,0,2,1,0,1,20,35,2,3.15,3.35,2,2.9,3,1.9,3.4,3.25,1.85,3.25,3.4,1.9,3.3,3.4
D1,05/11/2000,VFL Wolfsburg,Energie Cottbus,1,1,D,0,1,A,12000,Wolfgang Stark ,26,11,17,3,0,0,7,7,14,22,1,2,1,3,0,0,10,30,1.5,3.6,5.55,1.4,3.6,5.5,1.45,3.6,6.5,1.4,3.6,6.5,1.36,3.75,8
D1,10/11/2000,Borussia Dortmund,Hertha BSC,2,0,H,1,0,H,63000,Florian Meyer ,21,11,9,1,0,0,4,3,15,20,3,2,1,1,0,0,10,10,2.1,3.2,3,2,2.9,3,2.1,3.25,2.85,2.05,3.2,3.1,2.1,3.2,3
D1,11/11/2000,FC Köln,Hamburger SV,4,2,H,2,0,H,40000,Hermann Albrecht ,17,8,10,4,1,0,9,6,19,14,1,1,2,4,1,0,45,40,2.4,3.15,2.65,2.4,2.9,2.4,2.35,3.25,2.5,2.5,3,2.6,2.5,3.1,2.5
D1,11/11/2000,1860 München,VFL Wolfsburg,2,2,D,2,1,H,20000,Herbert Fandel ,11,19,6,10,0,0,6,8,25,23,1,1,1,3,0,0,10,30,2.05,3.05,3.3,1.85,2.9,3.4,2.1,3.2,3,2,3.1,3.4,1.83,3.2,3.75
D1,11/11/2000,SC Freiburg,Bayer Leverkusen,0,1,A,0,0,D,25000,Franz-Xaver Wack ,6,21,0,2,1,1,1,11,17,12,5,2,2,4,0,0,20,40,2.85,3.15,2.25,2.7,2.9,2.2,2.6,3.4,2.25,2.8,3.2,2.25,2.75,3.1,2.3
D1,11/11/2000,FC Hansa Rostock,SpVgg Unterhaching,2,2,D,0,1,A,12000,Markus Merk,16,13,9,6,0,0,9,9,17,17,4,6,3,2,0,0,30,20,1.8,3.2,4.1,1.6,3.2,4.2,1.8,3.25,3.75,1.67,3.3,4.5,1.72,3.2,4.33
D1,11/11/2000,FC Schalke 04,Bayern München,3,2,H,0,1,A,62000,Bernd Heynemann ,13,6,7,2,1,1,4,2,19,24,3,2,3,5,0,0,30,50,2.8,3.25,2.2,2.4,2.9,2.4,3,3.2,2.1,2.88,3.2,2.2,2.9,3.1,2.2
D1,11/11/2000,Werder Bremen,VFL Bochum,2,0,H,0,0,D,20000,Helmut Fleischer ,22,6,10,3,0,0,10,8,20,17,11,5,0,1,0,0,0,10,1.7,3.25,4.4,1.55,3.3,4.5,1.55,3.25,5.5,1.45,3.6,5.5,1.5,3.6,5.5
D1,12/11/2000,Energie Cottbus,VfB Stuttgart,2,1,H,1,1,D,17200,Uwe Kemmling ,14,12,4,9,1,0,10,6,18,18,0,1,3,2,0,0,30,20,2.25,3.1,2.85,2.3,2.9,2.5,2.25,3.4,2.6,2.25,3.1,2.88,2.3,3,2.8
D1,12/11/2000,Eintracht Frankfurt,FC Kaiserslautern,3,1,H,1,0,H,36000,Wolfgang Stark ,9,16,7,8,0,0,8,4,8,11,6,3,1,4,0,0,10,40,2.4,3.15,2.6,2.2,2.9,2.7,2.35,3.25,2.5,2.5,3,2.6,2.3,3.1,2.7
D1,17/11/2000,VfB Stuttgart,1860 München,2,2,D,1,0,H,15000,Helmut Krug ,20,9,7,4,0,1,7,2,20,17,3,0,0,2,0,0,0,20,2,2.8,3.6,2,2.9,3,1.8,3.25,3.75,1.91,3.1,3.6,1.9,3.2,3.5
D1,18/11/2000,FC Köln,FC Hansa Rostock,5,2,H,3,2,H,27000,Peter Sippel ,18,9,10,5,0,0,5,8,21,19,2,2,2,1,0,1,20,35,1.9,3.1,3.7,1.9,2.9,3.2,1.8,3.25,3.75,1.8,3.1,4,1.8,3.1,4
D1,18/11/2000,Bayern München,Eintracht Frankfurt,1,2,A,1,1,D,40000,Edgar Steinborn ,21,12,12,6,0,1,10,3,19,26,4,3,2,1,0,0,20,10,1.25,4.6,9,1.3,4,7,1.3,4,8,1.29,4.33,8.5,1.28,4.5,8
D1,18/11/2000,Hamburger SV,Bayer Leverkusen,1,3,A,1,2,A,50000,Markus Merk ,10,7,3,5,2,0,3,4,24,12,8,6,1,2,0,0,10,20,2.25,3,2.8,2.1,2.9,2.9,2.2,3.25,2.75,2.25,3.1,2.8,2.25,3.1,2.8
D1,18/11/2000,Hertha BSC,FC Schalke 04,0,4,A,0,2,A,50000,Herbert Fandel ,14,20,4,8,0,0,5,6,17,24,0,0,2,1,0,0,20,10,1.85,3.2,3.6,1.9,2.9,3.2,1.7,3.5,3.75,1.75,3.1,4.33,1.8,3.1,4
D1,18/11/2000,FC Kaiserslautern,SC Freiburg,0,2,A,0,1,A,40000,Lutz Wagner ,18,6,11,4,1,0,7,3,14,19,3,2,1,3,0,0,10,30,1.5,3.4,5.8,1.55,3.3,4.5,1.45,3.6,6.5,1.4,3.6,7.5,1.55,3.6,5
D1,18/11/2000,VFL Wolfsburg,Werder Bremen,1,1,D,0,1,A,20000,Jörg Kessler ,15,9,9,7,1,0,9,5,18,14,5,6,3,2,0,0,30,20,1.85,3.1,3.8,2,2.9,3,2,3.2,3.2,1.8,3.1,4,1.8,3.1,4
D1,19/11/2000,VFL Bochum,Borussia Dortmund,1,1,D,0,0,D,30000,Jürgen Aust ,16,20,7,6,0,1,8,10,22,23,1,1,4,2,0,0,40,20,2.7,3,2.3,2.9,2.9,2.1,2.5,3.25,2.35,2.8,3,2.3,3,2.87,2.25
D1,19/11/2000,SpVgg Unterhaching,Energie Cottbus,2,1,H,2,0,H,9000,Peter Gagelmann ,9,7,6,2,0,0,5,4,9,18,6,3,4,1,0,0,40,10,1.9,2.9,3.8,1.8,2.9,3.6,1.85,3.4,3.5,1.8,3.1,4,1.83,3.2,3.75
D1,24/11/2000,FC Schalke 04,VFL Bochum,2,1,H,1,0,H,45000,Uwe Kemmling ,16,9,5,2,0,1,4,2,25,25,2,3,3,1,0,0,30,10,1.35,4,6.5,1.45,3.5,5,1.4,3.5,8,1.4,3.75,7,1.3,4,9.5
D1,25/11/2000,Energie Cottbus,FC Köln,0,2,A,0,1,A,15000,Alfons Berg ,12,11,4,6,0,0,9,2,19,17,0,0,0,1,0,0,0,10,2.1,3.2,3,2,2.9,3,2,3.2,3.2,2.1,3,3.2,2.1,3.2,3
D1,25/11/2000,Borussia Dortmund,VFL Wolfsburg,2,1,H,2,1,H,60500,Markus Merk ,18,18,5,2,0,0,2,6,17,19,6,4,1,2,0,0,10,20,1.7,3.3,4.5,1.7,3.1,3.8,1.67,3.25,4.5,1.62,3.25,4.5,1.62,3.25,5
D1,25/11/2000,Eintracht Frankfurt,Hertha BSC,0,4,A,0,2,A,32000,Helmut Krug ,15,18,5,12,0,0,11,4,23,16,2,3,1,2,1,0,35,20,2.15,3.2,2.9,2,2.9,3,2.1,3.2,3,2.05,3.2,3.1,2.1,3.2,3
D1,25/11/2000,SC Freiburg,Bayern München,1,1,D,1,1,D,25000,Herbert Fandel ,10,19,4,10,0,0,2,9,23,25,3,4,3,5,0,0,30,50,3.8,3.3,1.8,3.2,2.9,1.9,3.2,3.2,2,3.75,3.3,1.8,3.5,3.2,1.9
D1,25/11/2000,FC Hansa Rostock,Hamburger SV,1,0,H,0,0,D,14500,Jürgen Jansen ,15,4,6,2,0,0,13,3,30,26,2,1,2,2,0,0,20,20,2.45,3,2.7,2.3,2.9,2.5,2.62,3.4,2.25,2.38,3,2.7,2.3,3.1,2.75
D1,26/11/2000,1860 München,SpVgg Unterhaching,0,2,A,0,1,A,29600,Florian Meyer ,16,16,3,6,0,0,8,5,8,15,2,0,4,0,0,0,40,0,1.65,3.3,4.8,1.6,3.2,4.2,1.73,3.4,4,1.62,3.2,4.6,1.62,3.25,5
D1,26/11/2000,Bayer Leverkusen,FC Kaiserslautern,4,2,H,2,1,H,22500,Hermann Albrecht ,16,14,9,7,0,0,8,4,25,22,7,0,2,3,0,0,20,30,1.66,3.4,4.45,1.6,3.2,4.2,1.61,3.5,4.5,1.62,3.25,5,1.57,3.25,5.5
D1,26/11/2000,Werder Bremen,VfB Stuttgart,1,0,H,0,0,D,26189,Lutz Michael Fröhlich ,9,5,2,3,0,1,8,3,21,29,3,3,1,1,0,1,10,35,1.85,3.2,3.7,1.8,3,3.5,1.8,3.4,3.6,1.8,3.1,4,1.8,3.3,3.75
D1,02/12/2000,FC Köln,1860 München,4,0,H,1,0,H,30000,Lutz Michael Fröhlich ,18,6,10,0,0,1,7,5,15,16,4,1,2,4,0,0,20,40,1.8,3.2,3.8,1.8,3,3.5,,,,1.75,3.25,4,1.72,3.25,4.2
D1,02/12/2000,Bayern München,Bayer Leverkusen,2,0,H,1,0,H,48000,Helmut Krug ,18,7,8,2,1,0,5,5,18,20,6,2,4,2,0,1,40,45,1.75,3.25,4.1,1.75,3.1,3.6,,,,1.73,3.2,4.33,1.72,3.2,4.33
D1,02/12/2000,VFL Bochum,Eintracht Frankfurt,2,1,H,2,0,H,17000,Bernd Heynemann ,13,20,6,8,0,1,10,5,18,9,2,1,1,2,0,0,10,20,2.35,3.1,2.7,2.2,2.9,2.7,,,,2.3,3.1,2.75,2.25,3.1,2.8
D1,02/12/2000,Hertha BSC,SC Freiburg,2,2,D,2,1,H,30000,Markus Merk ,18,7,8,4,0,0,6,0,17,18,2,6,4,3,0,0,40,30,1.45,3.6,6.3,1.45,3.5,5,,,,1.45,3.5,6.5,1.44,3.6,6.5
D1,02/12/2000,VfB Stuttgart,Borussia Dortmund,0,2,A,0,1,A,25000,Edgar Steinborn ,10,10,3,3,0,0,5,4,21,19,0,0,1,2,0,0,10,20,2.4,3,2.7,2.3,2.9,2.5,,,,2.3,3.1,2.7,2.37,3.1,2.62
D1,02/12/2000,VFL Wolfsburg,FC Schalke 04,2,0,H,0,0,D,18000,Jürgen Aust ,16,12,10,7,2,0,10,5,12,17,6,0,3,2,0,0,30,20,2.4,3.1,2.65,2.3,2.9,2.5,,,,2.38,3.1,2.6,2.37,3.1,2.62
D1,03/12/2000,Energie Cottbus,FC Hansa Rostock,1,0,H,0,0,D,20000,Herbert Fandel ,11,5,5,2,0,0,5,3,20,20,2,2,3,3,1,1,55,55,2.1,3,3.25,2.2,2.9,2.7,2,3.2,3.2,2.2,3,3,2.2,3,3
D1,03/12/2000,FC Kaiserslautern,Hamburger SV,2,1,H,0,0,D,38500,Helmut Fleischer ,14,7,6,5,0,0,9,5,15,31,2,5,3,4,0,0,30,40,1.9,3,3.6,1.9,2.9,3.2,1.91,3.2,3.5,1.91,3.2,3.5,2,3.3,3.1
D1,08/12/2000,Eintracht Frankfurt,VFL Wolfsburg,1,2,A,1,0,H,20000,Peter Gagelmann ,14,15,5,7,0,0,6,4,18,11,5,7,5,1,0,0,50,10,1.95,3.2,3.45,2,2.9,3,1.73,3.4,4,1.85,3.1,3.75,1.83,3.3,3.6
D1,09/12/2000,1860 München,FC Hansa Rostock,2,1,H,1,0,H,15000,Alfons Berg ,18,16,7,5,2,0,4,9,18,20,2,1,3,3,0,0,30,30,1.85,3.15,3.7,1.8,3,3.5,1.8,3.25,3.75,1.8,3.25,3.6,1.9,3.25,3.4
D1,09/12/2000,Borussia Dortmund,SpVgg Unterhaching,3,0,H,3,0,H,60000,Michael Weiner ,23,6,13,0,1,0,5,6,14,11,1,4,2,1,0,0,20,10,1.45,3.75,6,1.4,3.6,5.5,1.44,3.5,7,1.44,3.6,6.5,1.44,3.6,6.5
D1,09/12/2000,SC Freiburg,VFL Bochum,5,0,H,1,0,H,24000,Jörg Kessler ,20,14,12,8,0,0,5,3,7,15,2,4,2,4,0,1,20,65,1.75,3.2,4.3,1.75,3.1,3.6,1.8,3.25,3.75,1.7,3.25,4.33,1.72,3.4,4
D1,09/12/2000,FC Kaiserslautern,Bayern München,0,0,D,0,0,D,41500,Jürgen Aust ,26,9,8,0,1,0,10,5,24,18,4,7,1,6,0,0,10,60,2.7,3.15,2.3,2.35,3,2.35,2.75,3.2,2.25,2.8,3.1,2.25,2.75,3.2,2.25
D1,09/12/2000,FC Schalke 04,VfB Stuttgart,2,1,H,1,0,H,30000,Lutz Wagner ,12,11,6,3,0,0,6,3,21,20,2,0,3,2,0,1,30,45,1.55,3.5,5.5,1.6,3.2,4.2,1.61,3.25,5,1.5,3.5,6,1.53,3.4,5.5
D1,10/12/2000,Hamburger SV,Energie Cottbus,2,1,H,0,1,A,39600,Franz-Xaver Wack ,12,11,6,4,0,0,8,3,16,16,0,0,2,2,0,0,20,20,1.45,3.7,6.2,1.5,3.4,4.7,1.5,3.4,6,1.44,3.6,6.5,1.45,3.5,6.5
D1,10/12/2000,Bayer Leverkusen,Hertha BSC,4,0,H,2,0,H,22500,Bernd Heynemann ,14,7,9,3,0,0,2,3,22,16,3,4,1,2,0,1,10,45,1.8,3.3,3.85,1.75,3.1,3.6,1.61,3.5,4.5,1.73,3.25,4.2,1.72,3.4,4
D1,10/12/2000,Werder Bremen,FC Köln,2,1,H,0,0,D,26000,Uwe Kemmling ,13,12,4,3,2,0,9,8,12,14,3,2,3,2,1,0,55,20,1.9,3.2,3.6,1.75,3.1,3.6,1.8,3.25,3.75,1.91,3.25,3.4,1.9,3.25,3.4
D1,12/12/2000,VfB Stuttgart,Eintracht Frankfurt,4,1,H,1,1,D,20000,Peter Sippel ,15,8,9,6,2,0,8,7,18,18,3,1,2,3,0,0,20,30,1.85,3.2,3.7,1.75,3.1,3.6,1.83,3.4,3.5,1.75,3.25,4,1.7,3.3,4.2
D1,12/12/2000,SpVgg Unterhaching,FC Schalke 04,0,2,A,0,1,A,10000,Lutz Michael Fröhlich ,11,14,3,5,1,0,8,2,13,19,2,2,2,1,0,0,20,10,2.65,3.15,2.35,2.4,2.9,2.4,2.5,3.25,2.4,2.6,3.1,2.4,2.75,3.1,2.3
D1,12/12/2000,VFL Wolfsburg,SC Freiburg,1,2,A,0,1,A,16000,Hermann Albrecht ,14,7,6,4,0,0,5,4,10,8,2,1,2,2,0,0,20,20,1.7,3.25,4.45,1.6,3.2,4.2,1.73,3.2,4.33,1.67,3.3,4.5,1.66,3.3,4.5
D1,13/12/2000,FC Köln,Borussia Dortmund,0,0,D,0,0,D,41000,Helmut Fleischer ,14,11,10,6,1,0,8,3,17,17,1,0,1,3,0,0,10,30,2.35,3.2,2.65,2.4,2.9,2.4,2.37,3.2,2.6,2.25,3.2,2.75,2.3,3.25,2.62
D1,13/12/2000,Bayern München,Hamburger SV,2,1,H,0,1,A,30000,Hartmut Strampe ,11,8,9,3,0,0,5,5,20,18,2,7,2,4,0,0,20,40,1.4,3.9,6.6,1.45,3.5,5,1.44,3.75,6,1.3,4,8,1.3,4,9
D1,13/12/2000,VFL Bochum,Bayer Leverkusen,3,2,H,1,0,H,19000,Florian Meyer ,10,11,6,7,0,0,5,12,11,15,2,1,1,3,0,0,10,30,3.4,3.1,1.95,3.1,3,1.9,3.2,3.2,2,3.25,3.25,1.95,3.2,3.2,2
D1,13/12/2000,Energie Cottbus,1860 München,2,3,A,2,0,H,14000,Edgar Steinborn ,20,20,10,9,0,0,1,9,28,30,0,4,1,1,0,0,10,10,2.15,3.15,3,1.9,2.9,3.2,2,3.2,3.2,2,3.2,3.2,2.1,3.2,3
D1,13/12/2000,FC Hansa Rostock,Werder Bremen,5,2,H,2,1,H,15000,Wolfgang Stark ,9,18,8,7,0,1,5,11,21,18,6,3,2,5,0,0,20,50,2.2,3.1,2.9,2.2,2.9,2.7,2.1,3.2,3,2.2,3.1,2.88,2.2,3.2,2.8
D1,13/12/2000,Hertha BSC,FC Kaiserslautern,2,4,A,0,2,A,15000,Jürgen Jansen ,17,16,3,8,0,0,4,0,19,18,2,3,2,2,1,0,45,20,1.8,3.35,3.8,1.65,3.2,3.9,1.8,3.5,3.5,1.73,3.25,4.2,1.72,3.4,4
D1,15/12/2000,SpVgg Unterhaching,Eintracht Frankfurt,2,0,H,1,0,H,6000,Uwe Kemmling ,14,9,6,3,1,2,7,4,17,19,7,3,2,4,0,0,20,40,2.1,3.2,3,1.9,2.9,3.2,1.91,3.2,3.5,1.91,3.2,3.4,1.85,3.25,3.6
D1,16/12/2000,FC Köln,FC Schalke 04,2,2,D,0,2,A,42000,Herbert Fandel ,12,14,4,6,0,0,3,8,20,20,0,0,4,2,1,0,65,20,2.3,3.4,2.6,2.4,2.9,2.4,2.37,3.25,2.5,2.38,3.1,2.6,2.3,3.1,2.75
D1,16/12/2000,1860 München,Hamburger SV,2,1,H,1,0,H,15000,Markus Merk ,15,12,6,4,2,0,6,4,21,17,1,1,0,3,0,1,0,55,2.2,3.4,2.7,2.2,2.9,2.7,2.2,3.25,2.75,2.1,3.1,3.1,2.2,3.2,2.8
D1,16/12/2000,VFL Bochum,FC Kaiserslautern,0,1,A,0,1,A,15000,Franz-Xaver Wack ,12,8,5,5,0,0,5,2,23,14,4,4,2,4,1,0,45,40,2.6,3.1,2.4,2.35,3,2.35,2.75,3.2,2.25,2.7,3.1,2.3,2.65,3.1,2.35
D1,16/12/2000,FC Hansa Rostock,Borussia Dortmund,1,2,A,0,1,A,14000,Bernd Heynemann ,13,12,3,6,0,0,13,4,19,13,0,4,2,2,0,0,20,20,2.7,3,2.4,2.4,2.9,2.4,2.5,3.25,2.37,2.6,3.1,2.4,2.75,3.2,2.25
D1,16/12/2000,VfB Stuttgart,SC Freiburg,0,0,D,0,0,D,22000,Helmut Krug ,22,4,11,2,1,0,14,2,20,28,2,4,2,3,0,0,20,30,1.85,3.2,3.8,1.8,3,3.5,1.73,3.5,3.75,1.75,3.2,4.2,1.8,3.3,3.75
D1,16/12/2000,VFL Wolfsburg,Bayer Leverkusen,2,0,H,0,0,D,12965,Lutz Wagner ,19,11,9,4,1,0,5,6,19,22,3,4,2,3,0,0,20,30,2.6,3.2,2.4,2.3,2.8,2.6,2.75,3.25,2.2,2.5,3.1,2.5,2.5,3.1,2.5
D1,17/12/2000,Energie Cottbus,Werder Bremen,3,1,H,2,1,H,12700,Jürgen Aust ,14,11,6,5,0,0,4,4,21,18,1,6,2,4,0,0,20,40,2.25,3.2,2.8,2.3,2.9,2.5,2.2,3.25,2.75,2.2,3.1,2.88,2.2,3.2,2.8
D1,17/12/2000,Hertha BSC,Bayern München,1,3,A,1,2,A,55000,Alfons Berg ,10,9,4,6,0,0,5,5,16,18,1,2,1,2,0,0,10,20,2.6,3.2,2.4,2.35,3,2.35,2.6,3.2,2.37,2.6,3.1,2.4,2.62,3.1,2.4
D1,20/12/2000,SpVgg Unterhaching,Werder Bremen,0,0,D,0,0,D,8500,Hartmut Strampe ,7,5,3,1,0,0,11,7,16,21,2,1,1,0,0,0,10,0,2.15,2.9,3.2,2.1,2.9,2.9,,,,1.95,3.2,3.2,2,3.2,3.2
D1,26/01/2001,FC Schalke 04,FC Hansa Rostock,2,0,H,1,0,H,29700,Hartmut Strampe ,21,4,10,0,0,0,10,4,19,20,2,1,0,2,0,0,0,20,1.35,4,7.2,1.5,3.2,5,1.44,3.5,7,1.4,3.75,7,1.36,4,7
D1,27/01/2001,Bayern München,VFL Bochum,3,2,H,1,1,D,27500,Edgar Steinborn ,16,5,5,2,0,0,7,4,11,14,0,4,0,1,0,0,0,10,1.21,5.2,10.5,1.25,4.3,8,1.25,4.5,10,1.2,5,11,1.2,5,11
D1,27/01/2001,Borussia Dortmund,Energie Cottbus,2,0,H,0,0,D,61000,Lutz Michael Fröhlich ,17,4,8,2,0,0,7,0,13,20,6,0,0,4,0,0,0,40,1.25,4.35,8.4,1.3,4,7,1.36,3.75,8,1.3,4.33,8,1.28,4.5,8
D1,27/01/2001,Eintracht Frankfurt,FC Köln,1,5,A,0,4,A,24000,Wolfgang Stark ,12,11,8,7,0,0,17,4,24,21,0,7,4,1,0,0,40,10,2,3.1,3.35,2,2.9,3,2.2,3.25,2.75,2,3.1,3.3,2,3.3,3.1
D1,27/01/2001,SC Freiburg,SpVgg Unterhaching,2,0,H,1,0,H,24000,Markus Merk ,6,4,4,1,0,0,2,3,10,9,1,1,1,0,0,0,10,0,1.75,3.2,4.2,1.7,3.1,3.8,1.67,3.4,4.33,1.67,3.25,4.6,1.72,3.4,4
D1,27/01/2001,FC Kaiserslautern,VFL Wolfsburg,0,0,D,0,0,D,36700,Helmut Krug ,13,4,5,1,0,0,9,1,18,16,3,1,2,2,1,1,45,45,1.77,3.2,4.05,1.75,3.1,3.6,1.8,3.25,3.75,1.7,3.25,4.33,1.66,3.4,4.33
D1,27/01/2001,Werder Bremen,1860 München,2,0,H,0,0,D,25000,Lutz Wagner ,14,6,8,2,0,0,6,8,14,12,2,1,1,3,0,0,10,30,1.95,3.2,3.35,1.9,2.9,3.2,1.91,3.25,3.4,2,3.1,3.3,2,3.2,3.2
D1,28/01/2001,Hamburger SV,Hertha BSC,1,2,A,1,0,H,42000,Herbert Fandel ,9,11,3,6,0,0,3,3,20,26,3,1,2,2,1,1,45,45,2.05,3.1,3.2,2,2.9,3,2.1,3.2,3,2,3.1,3.3,1.9,3.25,3.4
D1,28/01/2001,Bayer Leverkusen,VfB Stuttgart,4,0,H,0,0,D,22500,Helmut Fleischer ,17,5,11,2,0,0,11,3,16,13,9,2,2,2,0,1,20,45,1.43,3.6,6.8,1.5,3.4,4.7,1.5,3.4,6,1.4,3.75,7,1.4,3.75,7
D1,02/02/2001,1860 München,Borussia Dortmund,1,0,H,0,0,D,20500,Jürgen Aust ,19,15,6,4,0,0,7,3,25,31,0,0,4,4,0,1,40,65,2.65,2.95,2.45,2.4,2.9,2.4,2.5,3.25,2.37,2.6,3.1,2.4,2.5,3.25,2.4
D1,03/02/2001,FC Köln,SC Freiburg,0,1,A,0,0,D,30000,Jörg Kessler ,11,17,4,9,0,1,1,7,19,16,1,1,1,4,0,0,10,40,1.75,3.2,4,1.8,3,3.5,1.73,3.4,4,1.75,3.25,4,1.72,3.4,4
D1,03/02/2001,VFL Bochum,Hertha BSC,1,3,A,0,1,A,10000,Peter Sippel ,12,14,4,6,0,0,9,5,17,19,2,0,2,2,0,0,20,20,2.6,3,2.5,2.4,2.9,2.4,2.75,3.2,2.25,2.63,3.1,2.38,2.5,3.25,2.4
D1,03/02/2001,Energie Cottbus,FC Schalke 04,4,1,H,2,0,H,17000,Florian Meyer ,19,20,11,11,1,0,5,3,18,24,1,0,2,1,0,1,20,35,2.95,3,2.25,3.2,2.9,1.9,3,3.2,2.1,3,3.1,2.05,3,3.2,2.1
D1,03/02/2001,VfB Stuttgart,FC Kaiserslautern,6,1,H,3,1,H,13000,Michael Weiner ,17,11,8,2,1,1,1,6,17,21,2,3,2,4,0,0,20,40,2.37,2.9,2.8,2.3,2.9,2.5,2.25,3.2,2.75,2.3,3.1,2.7,2.37,3.1,2.62
D1,03/02/2001,Werder Bremen,Hamburger SV,3,1,H,1,0,H,31526,Hermann Albrecht ,15,14,6,5,0,1,3,6,21,21,3,1,4,3,0,0,40,30,1.91,3.1,3.6,2,2.9,3,1.8,3.5,3.5,1.85,3.25,3.6,1.9,3.1,3.6
D1,03/02/2001,VFL Wolfsburg,Bayern München,1,3,A,1,2,A,20400,Lutz Michael Fröhlich ,11,11,5,7,0,1,6,2,11,11,2,4,0,1,0,0,0,10,3.25,2.95,2.1,2.9,2.9,2.1,3,3.2,2.1,3.1,3.1,2.1,3.1,3.1,2.1
D1,04/02/2001,FC Hansa Rostock,Eintracht Frankfurt,0,2,A,0,2,A,11000,Franz-Xaver Wack ,10,12,3,6,0,0,16,3,18,34,8,6,1,3,1,2,35,80,1.8,3.2,3.9,1.8,3,3.5,1.8,3.25,3.75,1.75,3.25,4,1.8,3.4,3.6
D1,04/02/2001,SpVgg Unterhaching,Bayer Leverkusen,1,2,A,1,1,D,9000,Peter Gagelmann ,16,10,5,4,0,0,3,4,20,23,1,4,2,2,1,0,45,20,3.05,2.9,2.25,3,2.9,2,2.8,3.2,2.2,3.1,3,2.15,3,3,2.2
D1,09/02/2001,Eintracht Frankfurt,Energie Cottbus,1,0,H,0,0,D,20000,Markus Merk ,13,15,5,5,0,0,6,8,15,16,1,0,2,2,0,0,20,20,1.8,3.2,4,1.65,3.2,3.9,,,,1.75,3.25,4,1.8,3.3,3.75
D1,10/02/2001,Bayern München,VfB Stuttgart,1,0,H,1,0,H,35000,Uwe Kemmling ,11,7,4,2,0,0,8,1,17,14,2,2,4,1,0,0,40,10,1.28,4.4,8.6,1.4,3.6,5.5,,,,1.33,4,8,1.33,4,8
D1,10/02/2001,Hamburger SV,VFL Bochum,3,0,H,3,0,H,25000,Hartmut Strampe ,19,8,6,4,1,0,5,1,27,11,1,3,1,5,0,0,10,50,1.5,3.6,5.6,1.55,3.3,4.5,,,,1.55,3.5,5.25,1.57,3.5,5
D1,10/02/2001,Hertha BSC,VFL Wolfsburg,1,3,A,0,1,A,37000,Jürgen Jansen ,5,10,3,6,0,0,0,2,5,5,0,0,1,3,0,0,10,30,1.68,3.25,4.6,1.7,3.1,3.8,,,,1.67,3.3,4.5,1.66,3.4,4.33
D1,10/02/2001,FC Kaiserslautern,SpVgg Unterhaching,4,0,H,3,0,H,36000,Jürgen Aust ,23,3,14,2,2,0,11,8,15,15,1,2,1,3,0,1,10,55,1.5,3.5,5.9,1.45,3.5,5,,,,1.5,3.5,5.75,1.5,3.6,5.5
