Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
D1,05/09/2000,FC Schalke 04,Energie Cottbus,3,0,H,2,0,H,36200,Edgar Steinborn ,15,5,12,3,0,0,5,2,16,13,3,0,0,4,0,0,0,40,1.25,4.4,8,1.3,4,7,1.4,3.75,7,1.4,3.75,7.5,1.36,3.75,8
D1,06/09/2000,Bayern München,VFL Wolfsburg,3,1,H,2,0,H,41000,Lutz Wagner ,16,15,8,9,0,1,11,5,16,19,3,1,0,3,0,0,0,30,1.2,4.5,9,1.25,4.3,8,1.3,4,9,1.3,4,10,1.3,4,9.5
D1,06/09/2000,Borussia Dortmund,1860 München,2,3,A,1,1,D,56000,Alfons Berg ,12,8,4,5,0,1,7,4,12,20,1,1,3,2,0,0,30,20,1.8,3.25,4,1.7,3.1,3.8,1.7,3.5,3.75,1.75,3.2,4.33,1.61,3.25,5
D1,06/09/2000,Eintracht Frankfurt,FC Hansa Rostock,4,0,H,0,0,D,20000,Michael Weiner ,6,12,5,3,0,3,3,5,16,13,3,2,3,3,1,1,55,55,1.85,3.1,3.9,1.75,3.1,3.6,1.8,3.4,3.6,1.8,3.2,4,1.8,3.25,3.8
D1,06/09/2000,Hamburger SV,Werder Bremen,2,1,H,1,0,H,40000,Helmut Fleischer ,18,6,11,3,0,1,10,3,20,20,6,9,2,2,0,0,20,20,1.95,3.1,3.4,1.9,2.9,3.2,,,,1.95,3.2,3.5,2,2.87,3.6
D1,06/09/2000,Hertha BSC,VFL Bochum,4,0,H,3,0,H,30000,Hartmut Strampe ,21,8,6,1,0,0,3,6,13,8,0,4,0,2,0,0,0,20,1.4,3.6,6.5,1.45,3.5,5,1.5,3.5,5.5,1.5,3.5,6,1.5,3.4,6
D1,08/09/2000,SpVgg Unterhaching,FC Kaiserslautern,0,0,D,0,0,D,13000,Helmut Krug ,18,19,9,10,0,1,8,8,23,15,2,6,0,1,0,0,0,10,2.35,3,2.8,,,,,,,2.5,3.2,2.5,2.62,3.1,2.4
D1,09/09/2000,FC Köln,Bayer Leverkusen,1,1,D,0,1,A,40000,Markus Merk ,7,9,2,2,1,2,2,8,11,21,3,2,2,2,0,1,20,45,2.9,3.1,2.15,3,2.9,2,2.6,3.4,2.25,3,3.25,2.1,3,3.2,2.1
D1,09/09/2000,1860 München,FC Schalke 04,1,1,D,0,0,D,40000,Peter Gagelmann ,16,8,7,4,2,0,8,2,17,10,3,1,2,3,0,0,20,30,1.95,3.15,3.3,1.9,2.9,3.2,2.2,3.25,2.75,2,3.2,3.3,2,3.2,3.2
D1,09/09/2000,VFL Bochum,Hamburger SV,0,4,A,0,2,A,23500,Jörg Kessler ,2,21,1,6,0,3,3,5,20,18,3,0,1,2,1,0,35,20,2.45,3.15,2.55,2.4,2.9,2.4,2.5,3.25,2.4,2.63,3.2,2.38,2.62,3.1,2.4
D1,09/09/2000,VfB Stuttgart,Bayern München,2,1,H,1,1,D,51165,Bernd Heynemann ,8,9,5,2,0,0,6,3,18,21,1,4,3,3,0,0,30,30,3.3,3.1,2,2.9,2.9,2.1,3.6,3.1,1.9,3.5,3.25,1.9,3.75,3.3,1.8
D1,09/09/2000,Werder Bremen,Borussia Dortmund,1,2,A,0,1,A,35000,Lutz Michael Fröhlich ,9,14,4,5,0,1,3,3,12,23,6,8,3,2,0,0,30,20,2.2,3.1,2.9,2.2,2.9,2.7,2.25,3.2,2.75,2.15,3.25,3,2.25,3.1,2.8
D1,09/09/2000,VFL Wolfsburg,Hertha BSC,2,1,H,1,0,H,16333,Hermann Albrecht ,14,10,6,4,1,0,7,9,22,17,0,1,2,3,0,0,20,30,2.15,3.1,3,2.2,2.9,2.7,2.1,3.2,3,2.2,3.2,2.88,2.25,3.1,2.8
D1,10/09/2000,Energie Cottbus,Eintracht Frankfurt,2,0,H,0,0,D,14012,Jürgen Aust ,17,10,9,2,2,0,8,2,15,15,7,0,2,4,0,0,20,40,2.25,3.2,2.8,2.2,2.9,2.7,2.4,3.25,2.5,2.3,3.2,2.75,2.3,3.1,2.75
D1,10/09/2000,FC Hansa Rostock,SC Freiburg,0,0,D,0,0,D,20000,Jürgen Jansen ,14,7,5,5,1,0,13,7,28,18,4,2,1,2,0,0,10,20,2.2,3.15,2.9,2,2.9,3,2.1,3.2,3,2.25,3.1,2.88,2.1,3.2,3
D1,15/09/2000,FC Kaiserslautern,FC Köln,3,1,H,1,1,D,38000,Hartmut Strampe ,18,13,8,7,1,0,5,3,14,15,1,2,1,1,1,0,35,10,1.66,3.4,4.3,1.6,3.2,4.2,1.7,3.4,4,1.67,3.25,4.75,1.57,3.5,5
D1,16/09/2000,Bayern München,SpVgg Unterhaching,3,1,H,1,1,D,48000,Jürgen Jansen ,15,14,6,3,0,1,4,6,16,20,4,3,2,0,0,0,20,0,1.25,5.2,8,1.25,4.3,8,1.25,4.5,10,1.22,5,10,1.16,5,15
D1,16/09/2000,VFL Bochum,VFL Wolfsburg,2,1,H,1,0,H,10000,Lutz Michael Fröhlich ,9,21,5,11,0,0,5,16,13,15,3,4,2,3,0,0,20,30,2.2,3.2,2.85,2.4,2.9,2.4,2.5,3.25,2.35,2.6,3.2,2.4,2.4,3.25,2.5
D1,16/09/2000,Eintracht Frankfurt,1860 München,1,0,H,1,0,H,30000,Helmut Krug ,9,16,2,4,2,0,7,6,18,24,1,2,3,4,0,0,30,40,2.3,3.2,2.65,2.3,2.9,2.5,2.35,3.25,2.5,2.38,3.1,2.7,2.5,3.1,2.5
D1,16/09/2000,SC Freiburg,Energie Cottbus,4,1,H,0,0,D,40000,Helmut Fleischer ,20,7,10,2,1,0,7,3,17,9,3,2,1,1,0,0,10,10,1.51,3.45,6.1,1.45,3.5,5,1.55,3.5,5,1.5,3.5,6,1.61,3.25,5
