Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
B1,13/10/1999,St Truiden,Westerlo,2,1,H,1,0,H
B1,23/10/1999,Charleroi,Lierse,1,1,D,0,1,A
B1,23/10/1999,Gent,St Truiden,4,2,H,2,2,D
B1,23/10/1999,Mechelen,Germinal,2,0,H,1,0,H
B1,23/10/1999,Standard,Lommel,4,1,H,1,0,H
B1,23/10/1999,Westerlo,Lokeren,3,3,D,1,2,A
B1,24/10/1999,Anderlecht,Geel,4,0,H,1,0,H
B1,24/10/1999,Genk,Club Brugge,1,0,H,0,0,D
B1,24/10/1999,Harelbeke,Aalst,1,1,D,1,0,H
B1,24/10/1999,Mouscron,Beveren,3,0,H,0,0,D
B1,28/10/1999,Anderlecht,Harelbeke,2,0,H,0,0,D
B1,30/10/1999,Club Brugge,Standard,5,2,H,4,0,H
B1,30/10/1999,Geel,Beveren,1,1,D,0,1,A
B1,30/10/1999,Germinal,Westerlo,3,2,H,3,2,H
B1,30/10/1999,Lierse,Mouscron,1,0,H,0,0,D
B1,30/10/1999,Lokeren,Gent,0,4,A,0,2,A
B1,30/10/1999,Lommel,Charleroi,1,1,D,1,0,H
B1,30/10/1999,St Truiden,Genk,0,5,A,0,3,A
B1,31/10/1999,Aalst,Mechelen,2,0,H,1,0,H
B1,05/11/1999,Charleroi,Club Brugge,0,2,A,0,1,A
B1,06/11/1999,Beveren,Lierse,1,1,D,0,0,D
B1,06/11/1999,Genk,Lokeren,1,1,D,0,1,A
B1,06/11/1999,Gent,Germinal,1,3,A,1,3,A
B1,06/11/1999,Mechelen,Anderlecht,2,5,A,1,4,A
B1,06/11/1999,Mouscron,Lommel,0,0,D,0,0,D
B1,06/11/1999,Standard,St Truiden,2,1,H,2,1,H
B1,06/11/1999,Westerlo,Aalst,3,2,H,0,1,A
B1,07/11/1999,Harelbeke,Geel,3,0,H,1,0,H
B1,10/11/1999,Aalst,Gent,4,2,H,2,1,H
B1,10/11/1999,Anderlecht,Westerlo,3,0,H,1,0,H
B1,10/11/1999,Club Brugge,Mouscron,1,2,A,0,0,D
B1,10/11/1999,Geel,Lierse,2,1,H,0,1,A
B1,10/11/1999,Genk,Germinal,4,0,H,1,0,H
B1,10/11/1999,Harelbeke,Mechelen,5,2,H,4,1,H
B1,10/11/1999,Lokeren,Standard,5,3,H,2,0,H
B1,10/11/1999,Lommel,Beveren,0,0,D,0,0,D
B1,10/11/1999,St Truiden,Charleroi,2,2,D,0,2,A
B1,19/11/1999,Gent,Anderlecht,0,3,A,0,1,A
B1,20/11/1999,Beveren,Club Brugge,2,3,A,0,2,A
B1,20/11/1999,Charleroi,Lokeren,2,4,A,0,2,A
B1,20/11/1999,Genk,Aalst,2,1,H,1,1,D
B1,20/11/1999,Lierse,Lommel,4,0,H,1,0,H
B1,20/11/1999,Mechelen,Geel,1,1,D,0,0,D
B1,20/11/1999,Mouscron,St Truiden,3,0,H,1,0,H
B1,20/11/1999,Standard,Germinal,1,0,H,1,0,H
B1,21/11/1999,Westerlo,Harelbeke,4,1,H,1,0,H
B1,26/11/1999,Club Brugge,Lierse,1,0,H,0,0,D
B1,27/11/1999,Geel,Lommel,0,0,D,0,0,D
B1,27/11/1999,Lokeren,Mouscron,3,2,H,1,1,D
B1,27/11/1999,Mechelen,Westerlo,2,2,D,1,2,A
B1,27/11/1999,St Truiden,Beveren,0,2,A,0,1,A
B1,28/11/1999,Aalst,Standard,1,2,A,0,0,D
B1,28/11/1999,Anderlecht,Genk,1,3,A,0,1,A
B1,28/11/1999,Germinal,Charleroi,3,0,H,0,0,D
B1,28/11/1999,Harelbeke,Gent,1,2,A,0,1,A
B1,04/12/1999,Beveren,Lokeren,2,1,H,1,1,D
B1,04/12/1999,Charleroi,Aalst,0,1,A,0,1,A
B1,04/12/1999,Geel,Westerlo,2,3,A,2,0,H
B1,04/12/1999,Lierse,St Truiden,0,0,D,0,0,D
B1,04/12/1999,Lommel,Club Brugge,0,0,D,0,0,D
B1,04/12/1999,Mouscron,Germinal,1,1,D,0,1,A
B1,05/12/1999,Genk,Harelbeke,4,3,H,1,1,D
B1,05/12/1999,Gent,Mechelen,6,1,H,2,0,H
B1,05/12/1999,Standard,Anderlecht,0,0,D,0,0,D
B1,08/12/1999,Beveren,Westerlo,4,0,H,0,0,D
B1,11/12/1999,Anderlecht,Charleroi,3,0,H,1,0,H
B1,11/12/1999,Club Brugge,Geel,4,0,H,2,0,H
B1,11/12/1999,Germinal,Beveren,2,0,H,1,0,H
B1,11/12/1999,Lokeren,Lierse,5,1,H,0,0,D
B1,11/12/1999,Mechelen,Genk,2,0,H,1,0,H
B1,11/12/1999,St Truiden,Lommel,2,0,H,0,0,D
B1,11/12/1999,Westerlo,Gent,4,2,H,1,1,D
B1,12/12/1999,Aalst,Mouscron,2,5,A,0,2,A
B1,12/12/1999,Harelbeke,Standard,3,4,A,2,2,D
B1,11/01/2000,Mouscron,Anderlecht,0,2,A,0,1,A
B1,12/01/2000,Aalst,Beveren,2,4,A,1,2,A
B1,12/01/2000,Genk,Westerlo,1,1,D,0,0,D
B1,12/01/2000,Gent,Geel,1,1,D,0,1,A
B1,12/01/2000,Germinal,Lierse,1,1,D,0,0,D
B1,12/01/2000,Harelbeke,Charleroi,4,1,H,2,0,H
B1,12/01/2000,Lokeren,Lommel,2,1,H,0,0,D
B1,12/01/2000,Mechelen,Standard,2,4,A,1,1,D
B1,12/01/2000,St Truiden,Club Brugge,0,1,A,0,1,A
B1,15/01/2000,Beveren,Anderlecht,0,0,D,0,0,D
B1,15/01/2000,Charleroi,Mechelen,1,4,A,0,3,A
B1,15/01/2000,Geel,St Truiden,1,2,A,1,0,H
B1,15/01/2000,Genk,Gent,0,1,A,0,0,D
B1,15/01/2000,Lommel,Germinal,2,2,D,1,1,D
B1,15/01/2000,Mouscron,Harelbeke,4,2,H,2,0,H
B1,16/01/2000,Club Brugge,Lokeren,6,1,H,4,1,H
B1,16/01/2000,Lierse,Aalst,5,2,H,3,2,H
B1,16/01/2000,Standard,Westerlo,4,0,H,1,0,H
B1,21/01/2000,Germinal,Club Brugge,5,3,H,5,1,H
B1,22/01/2000,Genk,Geel,1,0,H,1,0,H
B1,22/01/2000,Gent,Standard,1,5,A,0,3,A
B1,22/01/2000,Lokeren,St Truiden,3,0,H,1,0,H
B1,22/01/2000,Mechelen,Mouscron,1,3,A,0,1,A
B1,23/01/2000,Aalst,Lommel,3,1,H,0,0,D
B1,23/01/2000,Anderlecht,Lierse,2,0,H,0,0,D
B1,23/01/2000,Harelbeke,Beveren,0,5,A,,,
B1,23/01/2000,Westerlo,Charleroi,1,1,D,1,1,D
B1,28/01/2000,Standard,Genk,5,1,H,1,0,H
B1,29/01/2000,Beveren,Mechelen,2,1,H,1,0,H
B1,29/01/2000,Charleroi,Gent,1,2,A,1,0,H
B1,29/01/2000,Geel,Lokeren,3,0,H,1,0,H
B1,29/01/2000,Lommel,Anderlecht,3,3,D,1,1,D
B1,29/01/2000,St Truiden,Germinal,2,0,H,1,0,H
B1,30/01/2000,Club Brugge,Aalst,3,0,H,1,0,H
B1,30/01/2000,Lierse,Harelbeke,2,0,H,1,0,H
B1,30/01/2000,Mouscron,Westerlo,2,1,H,1,1,D
B1,05/02/2000,Genk,Charleroi,1,2,A,1,0,H
B1,05/02/2000,Gent,Mouscron,2,3,A,0,1,A
B1,05/02/2000,Mechelen,Lierse,4,3,H,2,2,D
B1,05/02/2000,Westerlo,Beveren,3,2,H,2,1,H
B1,06/02/2000,Aalst,St Truiden,2,0,H,0,0,D
B1,06/02/2000,Anderlecht,Club Brugge,1,1,D,0,0,D
B1,06/02/2000,Harelbeke,Lommel,5,1,H,2,1,H
B1,06/02/2000,Standard,Geel,3,0,H,2,0,H
B1,11/02/2000,Mouscron,Genk,5,0,H,2,0,H
B1,12/02/2000,Beveren,Gent,0,1,A,0,0,D
B1,12/02/2000,Geel,Germinal,0,2,A,0,1,A
B1,12/02/2000,Lierse,Westerlo,7,0,H,2,0,H
B1,12/02/2000,Lokeren,Aalst,5,1,H,1,0,H
B1,12/02/2000,Lommel,Mechelen,0,2,A,0,1,A
B1,12/02/2000,St Truiden,Anderlecht,0,4,A,0,2,A
B1,13/02/2000,Charleroi,Standard,1,4,A,0,2,A
B1,13/02/2000,Club Brugge,Harelbeke,1,2,A,0,2,A
B1,18/02/2000,Gent,Lierse,2,0,H,1,0,H
B1,18/02/2000,Standard,Mouscron,2,0,H,1,0,H
B1,19/02/2000,Anderlecht,Lokeren,5,0,H,1,0,H
B1,19/02/2000,Charleroi,Geel,1,3,A,0,0,D
B1,19/02/2000,Mechelen,Club Brugge,0,0,D,0,0,D
B1,19/02/2000,Westerlo,Lommel,1,0,H,1,0,H
B1,20/02/2000,Aalst,Germinal,1,2,A,0,1,A
B1,20/02/2000,Genk,Beveren,4,1,H,2,1,H
B1,20/02/2000,Harelbeke,St Truiden,3,2,H,1,2,A
B1,27/02/2000,Club Brugge,Anderlecht,0,2,A,0,0,D
B1,01/03/2000,Germinal,Lokeren,0,0,D,0,0,D
B1,04/03/2000,Beveren,Standard,0,2,A,0,0,D
B1,04/03/2000,Geel,Aalst,1,2,A,0,0,D
B1,04/03/2000,Lierse,Genk,5,0,H,4,0,H
B1,04/03/2000,Lokeren,Harelbeke,2,0,H,0,0,D
B1,04/03/2000,Lommel,Gent,1,3,A,0,1,A
B1,04/03/2000,Mouscron,Charleroi,2,1,H,0,0,D
B1,04/03/2000,St Truiden,Mechelen,3,1,H,1,0,H
B1,05/03/2000,Club Brugge,Westerlo,2,0,H,2,0,H
B1,05/03/2000,Germinal,Anderlecht,1,3,A,0,1,A
B1,10/03/2000,Gent,Club Brugge,2,0,H,1,0,H
B1,11/03/2000,Anderlecht,Aalst,4,1,H,3,1,H
B1,11/03/2000,Genk,Lommel,1,2,A,0,1,A
B1,11/03/2000,Mouscron,Geel,3,1,H,0,1,A
B1,11/03/2000,Standard,Lierse,3,1,H,1,1,D
B1,11/03/2000,Westerlo,St Truiden,3,2,H,1,1,D
B1,12/03/2000,Charleroi,Beveren,2,3,A,1,0,H
B1,12/03/2000,Harelbeke,Germinal,1,0,H,0,0,D
B1,12/03/2000,Mechelen,Lokeren,0,0,D,0,0,D
B1,18/03/2000,Geel,Anderlecht,0,0,D,0,0,D
B1,18/03/2000,Germinal,Mechelen,0,0,D,0,0,D
B1,18/03/2000,Lierse,Charleroi,2,0,H,0,0,D
B1,18/03/2000,Lokeren,Westerlo,0,0,D,0,0,D
B1,18/03/2000,St Truiden,Gent,0,0,D,0,0,D
B1,19/03/2000,Aalst,Harelbeke,3,0,H,2,0,H
B1,19/03/2000,Beveren,Mouscron,1,1,D,1,1,D
B1,19/03/2000,Club Brugge,Genk,2,0,H,2,0,H
B1,19/03/2000,Lommel,Standard,2,1,H,1,1,D
B1,24/03/2000,Standard,Club Brugge,0,1,A,0,1,A
B1,25/03/2000,Beveren,Geel,1,1,D,1,0,H
B1,25/03/2000,Charleroi,Lommel,1,1,D,0,1,A
B1,25/03/2000,Genk,St Truiden,0,2,A,0,1,A
B1,25/03/2000,Mechelen,Aalst,2,0,H,1,0,H
B1,25/03/2000,Mouscron,Lierse,3,3,D,1,2,A
B1,25/03/2000,Westerlo,Germinal,3,2,H,0,1,A
B1,26/03/2000,Gent,Lokeren,1,1,D,0,1,A
B1,26/03/2000,Harelbeke,Anderlecht,2,2,D,1,1,D
B1,01/04/2000,Aalst,Westerlo,1,1,D,0,0,D
B1,01/04/2000,Anderlecht,Mechelen,5,0,H,2,0,H
B1,01/04/2000,Club Brugge,Charleroi,3,1,H,2,0,H
B1,01/04/2000,Germinal,Gent,2,0,H,1,0,H
B1,01/04/2000,Lierse,Beveren,1,3,A,1,0,H
B1,01/04/2000,Lokeren,Genk,1,2,A,1,2,A
B1,01/04/2000,Lommel,Mouscron,0,4,A,0,1,A
B1,02/04/2000,Geel,Harelbeke,3,2,H,1,1,D
B1,02/04/2000,St Truiden,Standard,2,0,H,1,0,H
B1,07/04/2000,Lierse,Geel,2,2,D,1,2,A
B1,07/04/2000,Mouscron,Club Brugge,1,2,A,0,1,A
B1,07/04/2000,Standard,Lokeren,1,2,A,0,0,D
B1,08/04/2000,Charleroi,St Truiden,1,1,D,0,1,A
B1,08/04/2000,Germinal,Genk,3,0,H,2,0,H
B1,08/04/2000,Westerlo,Anderlecht,5,0,H,2,0,H
B1,09/04/2000,Beveren,Lommel,1,0,H,0,0,D
B1,09/04/2000,Gent,Aalst,4,0,H,2,0,H
B1,09/04/2000,Mechelen,Harelbeke,4,0,H,3,0,H
B1,15/04/2000,Aalst,Genk,1,3,A,1,1,D
B1,15/04/2000,Germinal,Standard,2,0,H,1,0,H
B1,15/04/2000,Lokeren,Charleroi,1,1,D,1,0,H
B1,15/04/2000,Lommel,Lierse,1,0,H,1,0,H
B1,15/04/2000,St Truiden,Mouscron,0,0,D,0,0,D
B1,16/04/2000,Anderlecht,Gent,1,2,A,1,0,H
B1,16/04/2000,Club Brugge,Beveren,3,1,H,2,0,H
B1,16/04/2000,Geel,Mechelen,3,0,H,1,0,H
B1,16/04/2000,Harelbeke,Westerlo,3,1,H,1,1,D
B1,21/04/2000,Lierse,Club Brugge,1,0,H,0,0,D
B1,22/04/2000,Beveren,St Truiden,3,4,A,0,2,A
B1,22/04/2000,Charleroi,Germinal,3,0,H,2,0,H
B1,22/04/2000,Genk,Anderlecht,1,4,A,0,2,A
B1,22/04/2000,Gent,Harelbeke,4,2,H,1,2,A
B1,22/04/2000,Lommel,Geel,1,1,D,1,0,H
B1,22/04/2000,Mouscron,Lokeren,0,0,D,0,0,D
B1,22/04/2000,Standard,Aalst,3,1,H,1,1,D
B1,22/04/2000,Westerlo,Mechelen,8,0,H,4,0,H
B1,06/05/2000,Aalst,Charleroi,0,3,A,0,1,A
B1,06/05/2000,Anderlecht,Standard,2,0,H,0,0,D
B1,06/05/2000,Club Brugge,Lommel,3,1,H,0,0,D
B1,06/05/2000,Germinal,Mouscron,0,1,A,0,0,D
B1,06/05/2000,Harelbeke,Genk,1,2,A,0,1,A
B1,06/05/2000,Lokeren,Beveren,5,2,H,2,0,H
B1,06/05/2000,Mechelen,Gent,0,2,A,0,2,A
B1,06/05/2000,St Truiden,Lierse,2,1,H,2,1,H
B1,06/05/2000,Westerlo,Geel,4,1,H,1,0,H
B1,11/05/2000,Beveren,Germinal,1,4,A,0,4,A
B1,11/05/2000,Charleroi,Anderlecht,1,1,D,0,1,A
B1,11/05/2000,Geel,Club Brugge,0,2,A,0,1,A
B1,11/05/2000,Genk,Mechelen,3,1,H,2,0,H
B1,11/05/2000,Gent,Westerlo,2,3,A,1,2,A
B1,11/05/2000,Lierse,Lokeren,1,2,A,1,0,H
B1,11/05/2000,Lommel,St Truiden,4,1,H,1,0,H
B1,11/05/2000,Mouscron,Aalst,1,1,D,0,0,D
B1,11/05/2000,Standard,Harelbeke,1,3,A,0,1,A
