Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
D1,07/08/1993,Bayern München,SC Freiburg,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,07/08/1993,Borussia Dortmund,Karlsruher SC,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,07/08/1993,MSV Duisburg, Bayer Leverkusen,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,07/08/1993,FC Köln,FC Kaiserslautern,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,07/08/1993,Hamburger SV,FC Nürnberg,5,2,H,,,,,,,,,,,,,,,,,,,,,
D1,07/08/1993,VfB Leipzig,Dynamo Dresden,3,3,D,,,,,,,,,,,,,,,,,,,,,
D1,07/08/1993,Bor. Mönchengladbach,Eintracht Frankfurt,0,4,A,,,,,,,,,,,,,,,,,,,,,
D1,07/08/1993,SG Wattenscheid 09,FC Schalke 04,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,07/08/1993,Werder Bremen,VfB Stuttgart,5,1,H,,,,,,,,,,,,,,,,,,,,,
D1,14/08/1993,Dynamo Dresden,MSV Duisburg,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,14/08/1993,Eintracht Frankfurt,Werder Bremen,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,14/08/1993,SC Freiburg,SG Wattenscheid 09,4,1,H,,,,,,,,,,,,,,,,,,,,,
D1,14/08/1993,FC Kaiserslautern,Bor. Mönchengladbach,4,2,H,,,,,,,,,,,,,,,,,,,,,
D1,14/08/1993,Karlsruher SC,Hamburger SV,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,14/08/1993,Bayer Leverkusen,Bayern München,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,14/08/1993,FC Nürnberg,FC Köln,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,14/08/1993,FC Schalke 04,Borussia Dortmund,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,14/08/1993,VfB Stuttgart,VfB Leipzig,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,21/08/1993,Bayern München,Dynamo Dresden,5,0,H,,,,,,,,,,,,,,,,,,,,,
D1,21/08/1993,Borussia Dortmund,SC Freiburg,3,2,H,,,,,,,,,,,,,,,,,,,,,
D1,21/08/1993,MSV Duisburg,VfB Stuttgart,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,21/08/1993,Eintracht Frankfurt,FC Kaiserslautern,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,21/08/1993,FC Köln,Karlsruher SC,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,21/08/1993,Hamburger SV,FC Schalke 04,4,1,H,,,,,,,,,,,,,,,,,,,,,
D1,21/08/1993,Bor. Mönchengladbach,FC Nürnberg,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,21/08/1993,SG Wattenscheid 09,Bayer Leverkusen,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,21/08/1993,Werder Bremen,VfB Leipzig,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,28/08/1993,Dynamo Dresden,SG Wattenscheid 09,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,28/08/1993,SC Freiburg,Hamburger SV,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,28/08/1993,FC Kaiserslautern,Werder Bremen,2,3,A,,,,,,,,,,,,,,,,,,,,,
D1,28/08/1993,Karlsruher SC,Bor. Mönchengladbach,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,28/08/1993,VfB Leipzig,MSV Duisburg,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,28/08/1993,Bayer Leverkusen,Borussia Dortmund,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,28/08/1993,FC Nürnberg,Eintracht Frankfurt,1,5,A,,,,,,,,,,,,,,,,,,,,,
D1,28/08/1993,FC Schalke 04,FC Köln,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,28/08/1993,VfB Stuttgart,Bayern München,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,01/09/1993,Bayern München,VfB Leipzig,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,01/09/1993,Borussia Dortmund,Dynamo Dresden,4,0,H,,,,,,,,,,,,,,,,,,,,,
D1,01/09/1993,Eintracht Frankfurt,Karlsruher SC,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,01/09/1993,FC Köln,SC Freiburg,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,01/09/1993,Hamburger SV,Bayer Leverkusen,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,01/09/1993,FC Kaiserslautern,FC Nürnberg,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,01/09/1993,Bor. Mönchengladbach,FC Schalke 04,3,2,H,,,,,,,,,,,,,,,,,,,,,
D1,01/09/1993,SG Wattenscheid 09,VfB Stuttgart,2,4,A,,,,,,,,,,,,,,,,,,,,,
D1,01/09/1993,Werder Bremen,MSV Duisburg,1,5,A,,,,,,,,,,,,,,,,,,,,,
D1,04/09/1993,Dynamo Dresden,Hamburger SV,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,04/09/1993,MSV Duisburg,Bayern München,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,04/09/1993,SC Freiburg,Bor. Mönchengladbach,3,3,D,,,,,,,,,,,,,,,,,,,,,
D1,04/09/1993,Karlsruher SC,FC Kaiserslautern,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,04/09/1993,VfB Leipzig,SG Wattenscheid 09,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,04/09/1993,Bayer Leverkusen,FC Köln,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,04/09/1993,FC Nürnberg,Werder Bremen,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,04/09/1993,FC Schalke 04,Eintracht Frankfurt,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,04/09/1993,VfB Stuttgart,Borussia Dortmund,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,08/09/1993,Borussia Dortmund,VfB Leipzig,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,08/09/1993,Eintracht Frankfurt,SC Freiburg,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,08/09/1993,FC Köln,Dynamo Dresden,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,08/09/1993,Hamburger SV,VfB Stuttgart,3,2,H,,,,,,,,,,,,,,,,,,,,,
D1,08/09/1993,FC Kaiserslautern,FC Schalke 04,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,08/09/1993,Bor. Mönchengladbach,Bayer Leverkusen,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,08/09/1993,FC Nürnberg,Karlsruher SC,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,08/09/1993,SG Wattenscheid 09,MSV Duisburg,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,08/09/1993,Werder Bremen,Bayern München,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,18/09/1993,Bayern München,SG Wattenscheid 09,3,3,D,,,,,,,,,,,,,,,,,,,,,
D1,18/09/1993,Dynamo Dresden,Bor. Mönchengladbach,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,18/09/1993,MSV Duisburg,Borussia Dortmund,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,18/09/1993,SC Freiburg,FC Kaiserslautern,2,3,A,,,,,,,,,,,,,,,,,,,,,
D1,18/09/1993,Karlsruher SC,Werder Bremen,0,3,A,,,,,,,,,,,,,,,,,,,,,
D1,18/09/1993,VfB Leipzig,Hamburger SV,1,4,A,,,,,,,,,,,,,,,,,,,,,
D1,18/09/1993,Bayer Leverkusen,Eintracht Frankfurt,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,18/09/1993,FC Schalke 04,FC Nürnberg,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,18/09/1993,VfB Stuttgart,FC Köln,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,25/09/1993,Borussia Dortmund,Bayern München,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,25/09/1993,Eintracht Frankfurt,Dynamo Dresden,3,2,H,,,,,,,,,,,,,,,,,,,,,
D1,25/09/1993,FC Köln,VfB Leipzig,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,25/09/1993,Hamburger SV,MSV Duisburg,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,25/09/1993,FC Kaiserslautern,Bayer Leverkusen,3,2,H,,,,,,,,,,,,,,,,,,,,,
D1,25/09/1993,Karlsruher SC,FC Schalke 04,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,25/09/1993,Bor. Mönchengladbach,VfB Stuttgart,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,25/09/1993,FC Nürnberg,SC Freiburg,2,2,D,,,,,,,,,,,,,,,,,,,,,
