Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
E0,14/08/1993,Arsenal,Coventry,0,3,A,,,,,,,,,,,,,,,,,,,,,
E0,14/08/1993,Aston Villa,QPR,4,1,H,,,,,,,,,,,,,,,,,,,,,
E0,14/08/1993,Chelsea,Blackburn,1,2,A,,,,,,,,,,,,,,,,,,,,,
E0,14/08/1993,Liverpool,Sheffield Weds,2,0,H,,,,,,,,,,,,,,,,,,,,,
E0,14/08/1993,Man City,Leeds,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,14/08/1993,Newcastle,Tottenham,0,1,A,,,,,,,,,,,,,,,,,,,,,
E0,14/08/1993,Oldham,Ipswich,0,3,A,,,,,,,,,,,,,,,,,,,,,
E0,14/08/1993,Sheffield United,Swindon,3,1,H,,,,,,,,,,,,,,,,,,,,,
E0,14/08/1993,Southampton,Everton,0,2,A,,,,,,,,,,,,,,,,,,,,,
E0,14/08/1993,West Ham,Wimbledon,0,2,A,,,,,,,,,,,,,,,,,,,,,
E0,15/08/1993,Norwich,Man United,0,2,A,,,,,,,,,,,,,,,,,,,,,
E0,16/08/1993,Tottenham,Arsenal,0,1,A,,,,,,,,,,,,,,,,,,,,,
E0,17/08/1993,Everton,Man City,1,0,H,,,,,,,,,,,,,,,,,,,,,
E0,17/08/1993,Ipswich,Southampton,1,0,H,,,,,,,,,,,,,,,,,,,,,
E0,17/08/1993,Leeds,West Ham,1,0,H,,,,,,,,,,,,,,,,,,,,,
E0,17/08/1993,Wimbledon,Chelsea,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,18/08/1993,Blackburn,Norwich,2,3,A,,,,,,,,,,,,,,,,,,,,,
E0,18/08/1993,Coventry,Newcastle,2,1,H,,,,,,,,,,,,,,,,,,,,,
E0,18/08/1993,Man United,Sheffield United,3,0,H,,,,,,,,,,,,,,,,,,,,,
E0,18/08/1993,QPR,Liverpool,1,3,A,,,,,,,,,,,,,,,,,,,,,
E0,18/08/1993,Sheffield Weds,Aston Villa,0,0,D,,,,,,,,,,,,,,,,,,,,,
E0,18/08/1993,Swindon,Oldham,0,1,A,,,,,,,,,,,,,,,,,,,,,
E0,21/08/1993,Blackburn,Oldham,1,0,H,,,,,,,,,,,,,,,,,,,,,
E0,21/08/1993,Coventry,West Ham,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,21/08/1993,Everton,Sheffield United,4,2,H,,,,,,,,,,,,,,,,,,,,,
E0,21/08/1993,Ipswich,Chelsea,1,0,H,,,,,,,,,,,,,,,,,,,,,
E0,21/08/1993,Leeds,Norwich,0,4,A,,,,,,,,,,,,,,,,,,,,,
E0,21/08/1993,Man United,Newcastle,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,21/08/1993,QPR,Southampton,2,1,H,,,,,,,,,,,,,,,,,,,,,
E0,21/08/1993,Sheffield Weds,Arsenal,0,1,A,,,,,,,,,,,,,,,,,,,,,
E0,21/08/1993,Tottenham,Man City,1,0,H,,,,,,,,,,,,,,,,,,,,,
E0,21/08/1993,Wimbledon,Aston Villa,2,2,D,,,,,,,,,,,,,,,,,,,,,
E0,22/08/1993,Swindon,Liverpool,0,5,A,,,,,,,,,,,,,,,,,,,,,
E0,23/08/1993,Aston Villa,Man United,1,2,A,,,,,,,,,,,,,,,,,,,,,
E0,24/08/1993,Arsenal,Leeds,2,1,H,,,,,,,,,,,,,,,,,,,,,
E0,24/08/1993,Man City,Blackburn,0,2,A,,,,,,,,,,,,,,,,,,,,,
E0,24/08/1993,Oldham,Coventry,3,3,D,,,,,,,,,,,,,,,,,,,,,
E0,24/08/1993,Sheffield United,Wimbledon,2,1,H,,,,,,,,,,,,,,,,,,,,,
E0,25/08/1993,Chelsea,QPR,2,0,H,,,,,,,,,,,,,,,,,,,,,
E0,25/08/1993,Liverpool,Tottenham,1,2,A,,,,,,,,,,,,,,,,,,,,,
E0,25/08/1993,Newcastle,Everton,1,0,H,,,,,,,,,,,,,,,,,,,,,
E0,25/08/1993,Norwich,Ipswich,1,0,H,,,,,,,,,,,,,,,,,,,,,
E0,25/08/1993,Southampton,Swindon,5,1,H,,,,,,,,,,,,,,,,,,,,,
E0,25/08/1993,West Ham,Sheffield Weds,2,0,H,,,,,,,,,,,,,,,,,,,,,
E0,27/08/1993,Man City,Coventry,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,28/08/1993,Arsenal,Everton,2,0,H,,,,,,,,,,,,,,,,,,,,,
E0,28/08/1993,Aston Villa,Tottenham,1,0,H,,,,,,,,,,,,,,,,,,,,,
E0,28/08/1993,Chelsea,Sheffield Weds,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,28/08/1993,Liverpool,Leeds,2,0,H,,,,,,,,,,,,,,,,,,,,,
E0,28/08/1993,Norwich,Swindon,0,0,D,,,,,,,,,,,,,,,,,,,,,
E0,28/08/1993,Oldham,Wimbledon,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,28/08/1993,Sheffield United,Ipswich,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,28/08/1993,Southampton,Man United,1,3,A,,,,,,,,,,,,,,,,,,,,,
