Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA
B1,03/12/2000,Harelbeke,Westerlo,0,4,A,0,1,A,2.65,3.4,2.2,2.8,3,2.1,2.7,3.25,2.2,2.95,3.35,2
B1,08/12/2000,Standard,Mouscron,3,3,D,0,1,A,1.7,3.6,4,1.75,3.1,3.6,1.62,3.4,4.5,1.6,3.5,4.4
B1,09/12/2000,Germinal,Genk,5,1,H,1,1,D,1.9,3.1,3.6,1.85,3,3.3,1.83,3.5,3.3,1.85,3.5,3.2
B1,09/12/2000,Mechelen,Anderlecht,0,2,A,0,1,A,6,3.8,1.45,4.7,3.4,1.5,5.25,3.6,1.5,4.75,3.8,1.5
B1,09/12/2000,Louvieroise,Gent,1,1,D,0,0,D,3.2,3.5,1.9,3.5,3,1.8,3.25,3.3,1.91,3.1,3.45,1.9
B1,09/12/2000,St Truiden,Charleroi,1,3,A,1,2,A,2.5,3.2,2.45,2.35,3,2.35,2.38,3.2,2.5,2.35,3.35,2.4
B1,09/12/2000,Westerlo,Beveren,1,2,A,0,2,A,1.6,3.6,4.6,1.5,3.4,4.7,1.53,3.6,5,1.5,3.8,4.8
B1,10/12/2000,Aalst,Antwerp,0,4,A,0,2,A,2,3.1,3.4,2,3,2.9,1.91,3.25,3.3,2,3.4,2.9
B1,10/12/2000,Club Brugge,Lierse,1,0,H,1,0,H,1.25,4.8,9,1.25,4.3,8,1.25,4.75,8,1.3,4.4,7
B1,10/12/2000,Harelbeke,Lokeren,1,6,A,1,2,A,2.7,3.2,2.3,2.8,3,2.1,2.63,3.25,2.25,2.55,3.3,2.25
B1,15/12/2000,Charleroi,Westerlo,2,2,D,0,1,A,1.9,3.2,3.6,1.8,3,3.5,1.8,3.5,3.4,1.8,3.5,3.35
B1,16/12/2000,Gent,Germinal,3,1,H,2,1,H,1.65,3.3,4.6,1.65,3.2,3.9,1.62,3.5,4.33,1.6,3.6,4.25
B1,16/12/2000,Anderlecht,Aalst,3,0,H,2,0,H,1.15,6,11,1.1,7,14,1.14,6,11,1.1,6.8,12
B1,16/12/2000,Antwerp,St Truiden,2,0,H,0,0,D,1.85,3.2,3.6,1.8,3,3.5,1.75,3.4,3.75,1.7,3.5,3.8
B1,16/12/2000,Beveren,Harelbeke,2,1,H,0,0,D,1.45,3.7,6,1.45,3.5,5,1.44,3.6,6,1.5,3.8,4.8
B1,16/12/2000,Lierse,Mechelen,1,1,D,1,1,D,1.4,3.8,6.8,1.3,4,7,1.44,3.6,6,1.45,3.6,5.8
B1,16/12/2000,Lokeren,Standard,2,1,H,0,1,A,2.7,3.3,2.2,2.6,3,2.2,2.6,3.4,2.2,2.65,3.35,2.15
B1,16/12/2000,Mouscron,Louvieroise,0,0,D,0,0,D,1.3,4.5,7.5,1.25,4.3,8,1.29,4.33,8,1.25,4.7,8
B1,17/12/2000,Genk,Club Brugge,0,1,A,0,1,A,4.2,3.8,1.6,3.9,3.2,1.65,4.2,3.6,1.62,4,3.4,1.72
B1,20/12/2000,Anderlecht,St Truiden,3,2,H,0,2,A,1.12,6.5,12,1.15,5.5,11,1.17,5.25,11,1.1,6.8,12
B1,20/12/2000,Antwerp,Westerlo,1,3,A,1,1,D,2.3,3.3,2.6,2.35,3,2.35,2.25,3.2,2.63,2.2,3.4,2.55
B1,20/12/2000,Charleroi,Beveren,5,0,H,3,0,H,1.65,3.6,4,1.6,3.3,4,1.62,3.5,4.33,1.65,3.55,4
B1,20/12/2000,Germinal,Mouscron,4,1,H,2,0,H,2.25,3.5,2.5,2.3,3.1,2.3,2.3,3.2,2.6,,,
B1,20/12/2000,Genk,Mechelen,3,1,H,1,0,H,1.55,3.6,4.7,1.5,3.4,4.7,1.57,3.5,4.75,1.65,3.6,3.9
B1,20/12/2000,Lierse,Aalst,2,0,H,2,0,H,1.45,3.5,7,1.45,3.5,5,1.44,3.75,5.75,1.45,3.75,5.5
B1,20/12/2000,Lokeren,Louvieroise,3,1,H,0,0,D,1.35,4,8,1.4,3.6,5.5,1.4,3.75,6.5,1.4,3.9,6
B1,20/12/2000,Standard,Harelbeke,3,0,H,1,0,H,1.15,6,12,1.2,4.7,9,1.2,5,10,1.15,6,10
B1,19/01/2001,Club Brugge,Mouscron,2,2,D,1,1,D,1.25,4.5,8.5,1.25,4.3,8,1.25,4.6,8.5,1.3,4.5,7
B1,20/01/2001,Beveren,Antwerp,2,1,H,2,1,H,2.05,2.9,3.2,2,2.9,3,2,3.4,2.9,2,3.5,2.9
B1,20/01/2001,Germinal,Lokeren,2,0,H,0,0,D,1.9,3.1,3.5,1.85,3,3.3,1.83,3.4,3.4,1.8,3.5,3.4
B1,20/01/2001,Mechelen,Gent,3,3,D,0,3,A,3.2,2.8,2.1,2.8,3,2.1,3.2,3.1,2,2.75,3.4,2.1
B1,20/01/2001,Louvieroise,Standard,0,4,A,0,2,A,4.2,3.3,1.65,3.6,3.2,1.7,3.8,3.4,1.73,3.8,3.5,1.7
B1,20/01/2001,Lierse,St Truiden,2,1,H,0,0,D,1.47,3.4,6,1.35,3.8,6.2,1.44,3.75,5.75,1.45,3.75,5.5
B1,21/01/2001,Aalst,Genk,4,2,H,1,2,A,2.3,3.2,2.6,2.35,3,2.35,2.38,3.2,2.5,2.35,3.3,2.45
B1,21/01/2001,Harelbeke,Charleroi,1,0,H,0,0,D,3.4,2.8,2.1,3.1,3,1.9,2.88,3.5,2,2.6,3.5,2.15
B1,27/01/2001,Gent,Aalst,1,0,H,1,0,H,1.35,4,7,1.35,3.8,6.2,1.36,4,6.75,1.35,4,7
B1,27/01/2001,Antwerp,Charleroi,1,1,D,1,0,H,2.18,3.35,2.65,2.2,3,2.6,2.2,3.4,2.6,2.25,3.4,2.5
